"PY"	"TI"	"AU"	"DEW"	"IDW"	"C1W"	"DI"	"SO"	"Coder"	"DT"
2003	"FORENSIC IDENTIFICATION REPORTING USING AUTOMATIC SPEAKER RECOGNITION SYSTEMS"	"GONZALEZ-RODRIGUEZ J;FIERREZ-AGUILAR J;ORTEGA-GARCIA J"	NA	NA	"GONZALEZ-RODRIGUEZ, J (CORRESPONDING AUTHOR), UNIV POLITECN MADRID, DEPT AUDIO VISUAL \& COMMUN ENGN, ATVS, SPEECH \& SIGNAL PROC GRP, E-28040 MADRID, SPAIN; UNIV POLITECN MADRID, DEPT AUDIO VISUAL \& COMMUN ENGN, ATVS, SPEECH \& SIGNAL PROC GRP, E-28040 MADRID, SPAIN"	NA	"2003 IEEE INTERNATIONAL CONFERENCE ON ACOUSTICS, SPEECH, AND SIGNAL PROCESSING, VOL II, PROCEEDINGS: SPEECH II; INDUSTRY TECHNOLOGY TRACKS; DESIGN AND IMPLEMENTATION OF SIGNAL PROCESSING SYSTEMS; NEURAL NETWORKS FOR SIGNAL PROCESSING"	"WebOfScience"	"PROCEEDINGS PAPER"
2003	"GC-MS OF IGNITABLE LIQUIDS USING SOLVENT-DESORBED SPME FOR AUTOMATED ANALYSIS"	"HARRIS AC;WHEELER JF"	"FORENSIC SCIENCE; SOLID PHASE MICROEXTRACTION; FIRE DEBRIS ANALYSIS; IGNITABLE LIQUID RESIDUES"	"SOLID-PHASE MICROEXTRACTION; SEMIVOLATILE POLLUTANTS; GAS; CHROMATOGRAPHY; ACCELERANTS; WATER; HYDROCARBONS; VOLATILE; SAMPLES"	"WHEELER, JF (CORRESPONDING AUTHOR), FURMAN UNIV, DEPT CHEM, GREENVILLE, SC 29613 USA; FURMAN UNIV, DEPT CHEM, GREENVILLE, SC 29613 USA; SPARTANBURG CTY SHERIFFS OFF, FORENS LAB, SPARTANBURG, SC USA"	NA	"JOURNAL OF FORENSIC SCIENCES"	"WebOfScience"	"ARTICLE"
2003	"HISTOLOGICAL ANALYSIS ON THE MEDIEVAL MUMMY IN KOREA"	"SHIN DH;YOUN M;CHANG BS"	"MUMMY; CHOSUN DYNASTY; MICROSCOPIC STUDY; RADIOCARBON DATING; FORENSIC; SCIENCE"	"UNIVERSITY AMS FACILITY; CALIBRATION; PROGRESS"	"SHIN, DH (CORRESPONDING AUTHOR), SEOUL NATL UNIV, COLL MED, DEPT ANAT, YONGON DONG 28, SEOUL 110799, SOUTH KOREA; SEOUL NATL UNIV, COLL MED, DEPT ANAT, SEOUL 110799, SOUTH KOREA; DONGNAM HLTH COLL, DEPT CLIN PATHOL, SUWON, SOUTH KOREA; SEOUL NATL UNIV, DEPT PHYS, SEOUL 151742, SOUTH KOREA"	"10.1016/S0379-0738(03)00335-9"	"FORENSIC SCIENCE INTERNATIONAL"	"WebOfScience"	"ARTICLE"
2003	"ISOLATION OF MICROSATELLITE MARKERS IN CANNABIS SATIVA L. (MARIJUANA)"	"GILMORE S;PEAKALL R"	"CANNABIS; FORENSIC; GERMPLASM; HEMP; MICROSATELLITES"	NA	"GILMORE, S (CORRESPONDING AUTHOR), CANBERRA INST TECHNOL, CTR FORENS SCI, POB 826, CANBERRA, ACT 2601, AUSTRALIA; CANBERRA INST TECHNOL, CTR FORENS SCI, CANBERRA, ACT 2601, AUSTRALIA; AUSTRALIAN NATL UNIV, SCH BOT \& ZOOL, CANBERRA, ACT 0200, AUSTRALIA"	"10.1046/j.1471-8286.2003.00367.x"	"MOLECULAR ECOLOGY NOTES"	"WebOfScience"	"ARTICLE"
2003	"LABORATORY AND FIELD EXPERIMENTS USED TO IDENTIFY CANIS LUPUS VAR. FAMILIARIS ACTIVE ODOR SIGNATURE CHEMICALS FROM DRUGS, EXPLOSIVES, AND HUMANS"	"LORENZO N;WAN TL;HARPER RJ;HSU YL;CHOW M;ROSE S;FURTON KG"	"EXPLOSIVES; DRUGS; HUMAN REMAINS; CANINE DETECTION; SPME"	"SOLID-PHASE MICROEXTRACTION; GAS-CHROMATOGRAPHY; PAPER CURRENCY;; COCAINE; METHAMPHETAMINE; IDENTIFICATION; SAMPLES; MDMA"	"FURTON, KG (CORRESPONDING AUTHOR), FLORIDA INT UNIV, DEPT CHEM, UNIV PK, MIAMI, FL 33199 USA; FLORIDA INT UNIV, DEPT CHEM, MIAMI, FL 33199 USA; FLORIDA INT UNIV, IFRI, MIAMI, FL 33199 USA"	"10.1007/s00216-003-2018-7"	"ANALYTICAL AND BIOANALYTICAL CHEMISTRY"	"WebOfScience"	"ARTICLE"
2003	"LIFTING SHOEPRINTS USING GELATIN LIFTERS AND A HYDRAULIC PRESS"	"SHOR Y;TSACH T;VINOKUROV A;GLATTSTEIN B;LANDAU E;LEVIN N"	"FORENSIC SCIENCE; GELATIN LIFTERS; FOOTWEAR PRINTS; SHOEPRINTS; HYDRAULIC PRESS; PRESS METHOD"	NA	"SHOR, Y (CORRESPONDING AUTHOR), ISRAEL POLICE NATL HEADQUARTERS, DIV IDENTIFICAT \& FORENS SCI, TOOLMARKS \& MAT LAB, IL-91906 JERUSALEM, ISRAEL; ISRAEL POLICE NATL HEADQUARTERS, DIV IDENTIFICAT \& FORENS SCI, TOOLMARKS \& MAT LAB, IL-91906 JERUSALEM, ISRAEL"	NA	"JOURNAL OF FORENSIC SCIENCES"	"WebOfScience"	"PROCEEDINGS PAPER"
2003	"NEW DEVELOPMENTS IN SPME, PART 1: THE USE OF VAPOR-PHASE DEPROTONATION AND ON-FIBER DERIVATIZATION WITH ALKYLCHLOROFORMATES IN THE ANALYSIS OF PREPARATIONS CONTAINING AMPHETAMINES"	"BROWN H;KIRKBRIDE KP;PIGOU PE;WALKER GS"	"FORENSIC SCIENCE; SPME; AMPHETAMINE-TYPE DRUGS; ON-FIBER DERIVATIZATION; DRUG PROFILING; DRUG INTELLIGENCE; CHLOROFORMATES"	"PERFORMANCE LIQUID-CHROMATOGRAPHY; GAS-CHROMATOGRAPHY;; PENTAFLUOROBENZOYL CHLORIDE; FLUORESCENCE DETECTION; AQUEOUS SAMPLES;; MICROEXTRACTION; METHAMPHETAMINE; 4-METHOXYAMPHETAMINE; CHLOROFORMATE;; ACYLATION"	"BROWN, H (CORRESPONDING AUTHOR), FLINDERS UNIV S AUSTRALIA, GPO BOX 2100, ADELAIDE, SA 5001, AUSTRALIA; FLINDERS UNIV S AUSTRALIA, ADELAIDE, SA 5001, AUSTRALIA; FORENS SCI S AUSTRALIA, ADELAIDE, SA, AUSTRALIA"	NA	"JOURNAL OF FORENSIC SCIENCES"	"WebOfScience"	"ARTICLE"
2003	"ON THE POTENTIAL OF RAMAN MICROSCOPY FOR THE FORENSIC ANALYSIS OF COLOURED TEXTILE FIBRES (VOL 4, PG 215, 2002)"	"JOCHEM G;LEHNERT R"	NA	NA	NA	NA	"SCIENCE AND JUSTICE"	"WebOfScience"	"CORRECTION"
2003	"PREFERENTIAL EXTRACTION OF HYDROCARBONS FROM FIRE DEBRIS SAMPLES BY SOLID PHASE MICROEXTRACTION"	"LLOYD JA;EDMISTON PL"	"FORENSIC SCIENCE; ARSON; FIRE DEBRIS; ACCELERANT DETECTION; SOLID-PHASE; MICROEXTRACTION; GAS CHROMATOGRAPHY; MASS SPECTROMETRY"	"IGNITABLE LIQUID RESIDUES; ACCELERANTS; RECOVERY; OPTIMIZATION"	"EDMISTON, PL (CORRESPONDING AUTHOR), COLL WOOSTER, DEPT CHEM, 943 COLL MALL, WOOSTER, OH 44691 USA; COLL WOOSTER, DEPT CHEM, WOOSTER, OH 44691 USA"	NA	"JOURNAL OF FORENSIC SCIENCES"	"WebOfScience"	"ARTICLE"
2003	"SHORT TANDEM REPEAT (STR) DNA MARKERS ARE HYPERVARIABLE AND INFORMATIVE IN CANNABIS SATIVA: IMPLICATIONS FOR FORENSIC INVESTIGATIONS"	"GILMORE S;PEAKALL R;ROBERTSON J"	"CANNABIS SATIVA; MICROSATELLITES; SHORT TANDEM REPEATS (STR); DRUG; FIBRE"	"CROSS-SPECIES AMPLIFICATION; SIMPLE SEQUENCE REPEATS; GENETIC DIVERSITY;; POPULATION; RAPD; MICROSATELLITES; IDENTIFICATION; LOCI; L.;; MITOCHONDRIAL"	"GILMORE, S (CORRESPONDING AUTHOR), CANBERRA INST TECHNOL, CTR FORENS SCI, GPO BOX 826, CANBERRA, ACT 2601, AUSTRALIA; CANBERRA INST TECHNOL, CTR FORENS SCI, CANBERRA, ACT 2601, AUSTRALIA; AUSTRALIAN NATL UNIV, SCH BOT \& ZOOL, CANBERRA, ACT 0200, AUSTRALIA; AUSTRALIAN FED POLICE, FORENS SERV DIV, CANBERRA, ACT 2601, AUSTRALIA"	"10.1016/S0379-0738(02)00397-3"	"FORENSIC SCIENCE INTERNATIONAL"	"WebOfScience"	"ARTICLE"
