"PY"	"TI"	"AU"	"DEW"	"IDW"	"C1W"	"DI"	"SO"	"Coder"	"DT"
1973	"ASBESTOS FIBERS IN HUMAN LUNGS - FORENSIC SIGNIFICANCE IN ENVIRONMENTAL DISEASE"	"EHRENREICH T ;MACKLER AD;LANGER AN;SELIKOFF IJ"	NA	NA	"CITY UNIV NEW YORK, MT SINAI SCH MED, ENVIRONM SCI LAB, NEW YORK, NY USA; NYU, SCH MED, DEPT FORENSIC MED, NEW YORK, NY USA"	NA	"ARCHIVES DES MALADIES PROFESSIONNELLES DE MEDECINE DU TRAVAIL ET DE SECURITE SOCIALE"	"WebOfScience"	"ARTICLE"
1973	"EVALUATION OF TRACE-ELEMENT ANALYSIS IN FORENSIC INVESTIGATION OF FIBER SAMPLES"	"BUSH HD;BUTTERWO.A BUTTERWOA;PEARSON EF;POUNDS CA"	NA	NA	"BRADFORD UNIV,SCH POSTGRAD STUDIES APPL PHYS,BRADFORD,YORKSHIRE,ENGLAND; HOME OFF CENT RES ESTABL,ALDERMASTON,BERKSHIRE,ENGLAND"	"10.1007/BF02516575"	"JOURNAL OF RADIOANALYTICAL CHEMISTRY"	"WebOfScience"	"ARTICLE"
1975	"RECOVERY OF FIBERS FROM SURFACE OF CLOTHING FOR FORENSIC EXAMINATIONS"	"POUNDS CA"	NA	NA	"CENT RES ESTAB,HOME OFF,ALDERMASTON,READING RG7 4PN,BERKSHIRE,ENGLAND"	"10.1016/S0015-7368(75)70966-0"	"JOURNAL OF THE FORENSIC SCIENCE SOCIETY"	"WebOfScience"	"ARTICLE"
1977	"FORENSIC SIGNIFICANCE OF FLUORESCENT BRIGHTENERS - THEIR QUALITATIVE TLC CHARACTERIZATION IN SMALL QUANTITIES OF FIBER AND DETERGENTS"	"LLOYD JBF"	NA	NA	"LLOYD, JBF (CORRESPONDING AUTHOR), FORENS SCI LAB,GOOCH ST N,BIRMINGHAM B5 6QQ,ENGLAND"	"10.1016/S0015-7368(77)71141-7"	"JOURNAL OF THE FORENSIC SCIENCE SOCIETY"	"WebOfScience"	"ARTICLE"
1980	"A NEW APPROACH TO THE MICROSCOPICAL EXAMINATION AND COMPARISON OF SYNTHETIC-FIBERS ENCOUNTERED IN FORENSIC-SCIENCE CASES"	"PETRACO N;DEFOREST PR;HARRIS H"	NA	NA	"PETRACO, N (CORRESPONDING AUTHOR), NEW YORK CITY CRIME LAB,235 E 20TH ST,NEW YORK,NY 10003, USA"	NA	"JOURNAL OF FORENSIC SCIENCES"	"WebOfScience"	"ARTICLE"
1981	"ASBESTOS FIBERS IN HUMAN-LUNG - FORENSIC SIGNIFICANCE"	"EHRENREICH T ;SELIKOFF IJ"	NA	NA	"EHRENREICH, T (CORRESPONDING AUTHOR), LUTHERAN MED CTR,DEPT LABS,BROOKLYN,NY 11220, USA"	"10.1097/00000433-198103000-00012"	"AMERICAN JOURNAL OF FORENSIC MEDICINE AND PATHOLOGY"	"WebOfScience"	"ARTICLE"
1981	"IDENTIFICATION OF SINGLE FIBERS BY X-RAY-DIFFRACTION IN FORENSIC ANALYSIS"	"LYNCH BJ;KERRIGAN GC"	NA	NA	"LYNCH, BJ (CORRESPONDING AUTHOR), GOVT CHEM LABS,DIV FORENS CHEM,PERTH,WA,AUSTRALIA; WESTERN AUSTRALIAN INST TECHNOL,DEPT PHYS,S BENTLEY,WA 6102,AUSTRALIA"	"10.1002/xrs.1300100411"	"X-RAY SPECTROMETRY"	"WebOfScience"	"ARTICLE"
1982	"AN EVALUATION OF MOUNTING MEDIA FOR USE IN FORENSIC TEXTILE FIBER EXAMINATION"	"COOK R;NORTON D"	NA	NA	"COOK, R (CORRESPONDING AUTHOR), METROPOLITAN POLICE FORENS SCI LAB,109 LAMBETH RD,LONDON SE1 7LP,ENGLAND"	"10.1016/S0015-7368(82)71446-X"	"JOURNAL OF THE FORENSIC SCIENCE SOCIETY"	"WebOfScience"	"ARTICLE"
1983	"SOME HINTS FOR THE FORENSIC FIBER MICROSCOPIST"	"PALENIK CS"	NA	NA	"MCCRONE ASSOCIATES,CHICAGO,IL"	NA	"JOURNAL OF THE FORENSIC SCIENCE SOCIETY"	"WebOfScience"	"MEETING ABSTRACT"
1983	"THE ROLE OF FIBERS IN FORENSIC-SCIENCE EXAMINATIONS"	"GRIEVE MC"	NA	NA	"USA,CRIMINAL INVEST LAB,FRANKFURT,FED REP GER"	NA	"JOURNAL OF FORENSIC SCIENCES"	"WebOfScience"	"ARTICLE"
1983	"THERMAL SHRINKAGE OF SMALL SINGLE ACRYLIC FIBERS - A TECHNIQUE OF FORENSIC POTENTIAL"	"BRESEE RR;ORR CL"	NA	NA	"BRESEE, RR (CORRESPONDING AUTHOR), KANSAS STATE UNIV AGR \& APPL SCI,DEPT CLOTHING TEXT \& INTERIOR DESIGN,MANHATTAN,KS 66506, USA"	"10.1016/0379-0738(83)90128-7"	"FORENSIC SCIENCE INTERNATIONAL"	"WebOfScience"	"ARTICLE"
1984	"MYOGLOBIN LOSS AS THE 1ST LIGHT-MICROSCOPIC SIGN OF DAMAGE TO CARDIAC FIBER - AN INVESTIGATION OF 149 FORENSIC CASES OF OBDUCTION"	"KEIL W;ISHIYAMA I"	NA	NA	"KEIL, W (CORRESPONDING AUTHOR), HUMBOLDT UNIV,BEREICH MED CHARITE,INST GERICHTLICHE MED,DDR-1040 BERLIN,GER DEM REP"	NA	"DEUTSCHE GESUNDHEITSWESEN-ZEITSCHRIFT FUR KLINISCHE MEDIZIN"	"WebOfScience"	"ARTICLE"
1984	"THE COLLECTION OF DATA FROM FIBERS ENCOUNTERED IN FORENSIC-SCIENCE CASEWORK - A UK INTERLABORATORY SURVEY"	"LAING DK;HARTSHORNE AW"	NA	NA	"HOME OFF,FORENS SCI SERV,CENT RES ESTAB,READING RG7 4PN,BERKS,ENGLAND"	NA	"JOURNAL OF THE FORENSIC SCIENCE SOCIETY"	"WebOfScience"	"MEETING ABSTRACT"
1984	"THE ROLE OF FIBERS IN FORENSIC-SCIENCE EXAMINATIONS - DISCUSSION"	"STONEY DA"	NA	NA	"STONEY, DA (CORRESPONDING AUTHOR), INST FORENS SCI,CRIMINALIST LAB,610 16TH ST,SUITE 307,OAKLAND,CA 94612, USA"	NA	"JOURNAL OF FORENSIC SCIENCES"	"WebOfScience"	"LETTER"
1984	"THE ROLE OF FIBERS IN FORENSIC-SCIENCE EXAMINATIONS - REPLY"	"GRIEVE MC"	NA	NA	"GRIEVE, MC (CORRESPONDING AUTHOR), USA,CRIMINAL INVEST LAB EUROPE,FIBER SECT,APO,NEW YORK,NY 09757, USA"	NA	"JOURNAL OF FORENSIC SCIENCES"	"WebOfScience"	"LETTER"
1984	"THE USE OF OPTICAL COMPENSATORS IN FORENSIC FIBER EXAMINATIONS"	"CARROLL GR"	NA	NA	"ROYAL CANADIAN MOUNTED POLICE,CENT FORENS LAB,OTTAWA K1G 3M8,ONTARIO,CANADA"	NA	"JOURNAL OF THE FORENSIC SCIENCE SOCIETY"	"WebOfScience"	"MEETING ABSTRACT"
1987	"A FIBER DATA-COLLECTION FOR FORENSIC SCIENTISTS - COLLECTION AND EXAMINATION METHODS"	"LAING DK;HARTSHORNE AW;COOK R;ROBINSON G"	NA	NA	"LAING, DK (CORRESPONDING AUTHOR), HOME OFF FORENS SCI SERV,CENT RES ESTAB,READING RG7 4PN,BERKS,ENGLAND; METROPOLITAN POLICE FORENS SCI LAB,LONDON SE1 7LP,ENGLAND; HOME OFF FORENS SCI LAB,CHEPSTOW,GWENT,WALES"	NA	"JOURNAL OF FORENSIC SCIENCES"	"WebOfScience"	"ARTICLE"
1988	"A NOVEL TECHNIQUE FOR THE COLLECTION AND RECOVERY OF FOREIGN FIBERS IN FORENSIC-SCIENCE CASEWORK"	"CHOUDHRY MY"	NA	NA	"CHOUDHRY, MY (CORRESPONDING AUTHOR), USA,CRIMINAL INVEST LAB,CONUS,FOREST PK,GA 30050, USA"	NA	"JOURNAL OF FORENSIC SCIENCES"	"WebOfScience"	"NOTE"
1988	"AN ASSESSMENT OF THE VALUE OF BLUE, RED, AND BLACK COTTON FIBERS AS TARGET FIBERS IN FORENSIC-SCIENCE INVESTIGATIONS"	"GRIEVE MC;DUNLOP J;HADDOCK P"	NA	NA	"GRIEVE, MC (CORRESPONDING AUTHOR), USA,CRIMINAL INVEST LAB,FIBER SECT,BETTS AREA 272,FRIEDBERGER LANDSTR,D-6000 FRANKFURT 60,FED REP GER; BRUNEL UNIV,DEPT BIOCHEM,UXBRIDGE UB8 3PH,MIDDX,ENGLAND"	NA	"JOURNAL OF FORENSIC SCIENCES"	"WebOfScience"	"ARTICLE"
1988	"BICOMPONENT ACRYLIC FIBERS - THEIR CHARACTERIZATION IN THE FORENSIC-SCIENCE LABORATORY"	"GRIEVE MC;DUNLOP J;KOTOWSKI TM"	NA	NA	"GRIEVE, MC (CORRESPONDING AUTHOR), USA,CRIMINAL INVEST LAB,BETTS AREA 272,FRIEDBERGER LANDSTR 6,FRANKFURT 60,FED REP GER"	"10.1016/S0015-7368(88)72800-5"	"JOURNAL OF THE FORENSIC SCIENCE SOCIETY"	"WebOfScience"	"EDITORIAL MATERIAL"
1988	"CHARACTERIZATION OF ACID DYES IN FORENSIC FIBER ANALYSIS BY HIGH-PERFORMANCE LIQUID-CHROMATOGRAPHY USING NARROW-BORE COLUMNS AND DIODE-ARRAY DETECTION"	"LAING DK;GILL R;BLACKLAWS C;BICKLEY HM"	NA	NA	"LAING, DK (CORRESPONDING AUTHOR), HOME OFF FORENS SCI SERV,CENT RES ESTAB,READING RG7 4PN,BERKS,ENGLAND"	NA	"JOURNAL OF CHROMATOGRAPHY"	"WebOfScience"	"ARTICLE"
1989	"ANALYTICAL METHODS FOR DEVELOPING FIBERS AS FORENSIC-SCIENCE PROOF - A REVIEW WITH COMMENTS"	"FONG W"	NA	NA	"FONG, W (CORRESPONDING AUTHOR), OFF DISTR ATTORNEY,CTY SANTA CLARA,CRIMINALIST LAB,1557 BERGER DR,SUITE B-2,SAN JOSE,CA 95112, USA"	NA	"JOURNAL OF FORENSIC SCIENCES"	"WebOfScience"	"REVIEW"
1989	"FT-IR MICROSCOPY FOR FORENSIC FIBER ANALYSIS - THE RESULTS OF CASE-STUDIES"	"TUNGOL MW;MONTASER A;BARTICK EG"	NA	NA	NA	NA	"7TH INTERNATIONAL CONFERENCE ON FOURIER TRANSFORM SPECTROSCOPY"	"WebOfScience"	"PROCEEDINGS PAPER"
1990	"FT-IR MICROSCOPIC ANALYSIS OF SINGLE FIBERS - MORE SPECIFIC CHEMICAL INFORMATION FOR FORENSIC EXAMINATIONS"	"TUNGOL MW;MONTASER A;BARTICK EG"	NA	NA	"GEORGE WASHINGTON UNIV,DEPT CHEM,WASHINGTON,DC 20052; FED BUR INVEST ACAD,CTR FORENS SCI RES \& TRAINING,QUANTICO,VA 22135"	NA	"ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY"	"WebOfScience"	"MEETING ABSTRACT"
1991	"AN ABSORPTION STANDARD FOR MICROSPECTROPHOTOMETRY - RESULTS OF A COLLABORATIVE EXERCISE"	"HARTSHORNE AW;LAING DK"	"MICROSPECTROPHOTOMETRY; ABSORPTION STANDARD"	"SINGLE TEXTILE FIBERS; DATA-COLLECTION; COLOR"	"HARTSHORNE, AW (CORRESPONDING AUTHOR), HOME OFF FORENS SCI SERV,CENT RES \& SUPPORT ESTAB,READING RG7 4PN,BERKS,ENGLAND"	"10.1016/0379-0738(91)90191-K"	"FORENSIC SCIENCE INTERNATIONAL"	"WebOfScience"	"ARTICLE"
1991	"FIBER TRANSFER AND THE INFLUENCE OF FABRIC SOFTENER"	"BRESEE RR;ANNIS PA"	"FORENSIC SCIENCE; FIBERS; TRANSFERRING; FABRIC SOFTENERS"	"SIMULATED CONTACTS; CLOTHING MATERIALS; BLENDED FABRICS; PERSISTENCE;; WEAR"	"BRESEE, RR (CORRESPONDING AUTHOR), UNIV TENNESSEE,CTR MAT PROC,230 JESSIE HARRIS BLDG,KNOXVILLE,TN 37996, USA; UNIV GEORGIA,TEXT SCI,ATHENS,GA 30602"	NA	"JOURNAL OF FORENSIC SCIENCES"	"WebOfScience"	"ARTICLE"
1991	"FORENSIC ANALYSIS OF TEXTILE FIBERS BY FOURIER-TRANSFORM INFRARED DIAMOND CELL TECHNIQUE"	"GAL T;AMBRUS I;URSZU S"	NA	NA	"GAL, T (CORRESPONDING AUTHOR), INST FORENS SCI,POB 314-4,H-1903 BUDAPEST,HUNGARY; INNOVATEXT TEXT ENGN,H-1475 BUDAPEST,HUNGARY"	NA	"ACTA CHIMICA HUNGARICA-MODELS IN CHEMISTRY"	"WebOfScience"	"ARTICLE"
1991	"MICROSPECTROFLUORIMETRY OF FLUORESCENT DYES AND BRIGHTENERS ON SINGLE TEXTILE FIBERS .2. COLOR MEASUREMENTS"	"HARTSHORNE AW;LAING DK"	"MICROSPECTROFLUORIMETRY; SINGLE FIBERS; DYES; BRIGHTENERS; COLOR; MEASUREMENTS"	"FIBER DATA-COLLECTION"	"HARTSHORNE, AW (CORRESPONDING AUTHOR), HOME OFF FORENS SCI SERV,CENT RES \& SUPPORT ESTAB,READING RG7 4PN,BERKS,ENGLAND"	"10.1016/0379-0738(91)90188-O"	"FORENSIC SCIENCE INTERNATIONAL"	"WebOfScience"	"ARTICLE"
1991	"THE EVALUATION OF FIBER TRANSFER EVIDENCE IN FORENSIC-SCIENCE - A CASE-STUDY IN STATISTICAL MODELING"	"WAKEFIELD JC;SKENE AM;SMITH AFM;EVETT LW"	"BAYESIAN INFERENCE; COLOR MEASUREMENTS; FORENSIC SCIENCE; KERNEL DENSITY; ESTIMATION; LIKELIHOOD RATIO; MODELING WITHIN-GARMENT VARIABILITY"	NA	"UNIV NOTTINGHAM, DEPT MATH, UNIV PK, NOTTINGHAM NG7 2RD, ENGLAND; IMPERIAL COLL SCI TECHNOL \& MED, LONDON, ENGLAND; HOME OFF FORENS SCI SERV, CENT RES \& SUPPORT ESTAB, ALDERMASTON, ENGLAND"	NA	"JOURNAL OF THE ROYAL STATISTICAL SOCIETY. SERIES C: APPLIED STATISTICS"	"WebOfScience"	"ARTICLE"
1992	"A SIMPLE HIGH-PRESSURE ANVIL AND TEMPLATE DEVICE FOR THE PRODUCTION OF INFRARED-SPECTRA FROM MICROFIBER SAMPLES"	"WHITE GW"	"FORENSIC SCIENCE; INFRARED SPECTRA; FIBERS; SYNTHETIC FIBERS; ANVIL; MICROINFRARED SPECTRA; ACRYLIC; MODACRYLIC; NYLON; POLYESTER; POLYETHYLENE; RAYON; ACETATE; POLYPROPYLENE"	NA	"GOVT CHEM LABS,FORENS CHEM SECT,ARCHERFIELD,QLD 4108,AUSTRALIA"	NA	"JOURNAL OF FORENSIC SCIENCES"	"WebOfScience"	"NOTE"
1992	"ALTERED COLLAGEN (FIBRINOID CHANGE) AT THE SITE OF POSTMORTEM INJURIES"	"ALI LI"	NA	NA	"ALI, TT (CORRESPONDING AUTHOR), UNIV WALES COLL MED,DEPT HISTOPATHOL,CARDIFF CF4 4XN,S GLAM,WALES"	"10.1177/002580249203200306"	"MEDICINE SCIENCE AND THE LAW"	"WebOfScience"	"ARTICLE"
1992	"APPLICATION OF DRIFT SPECTROSCOPY FOR COMPARISON OF DYE MIXTURES EXTRACTED FROM SMALL TEXTILE SAMPLES"	"KOKOT S;CARSWELLL S;MASSART DL"	"DYES; MIXTURES; DRIFT; CHEMOMETRICS; MATCHING; FORENSICS"	"THIN-LAYER CHROMATOGRAPHY; TRANSFORM INFRARED SPECTROMETRY; PRINCIPAL; COMPONENTS MODELS; TRANSFERRED FIBERS"	"KOKOT, S (CORRESPONDING AUTHOR), QUEENSLAND UNIV TECHNOL,SCH CHEM,BRISBANE,AUSTRALIA; VRIJE UNIV BRUSSELS,INST FARMACEUT,B-1050 BRUSSELS,BELGIUM"	"10.1366/0003702924123773"	"APPLIED SPECTROSCOPY"	"WebOfScience"	"ARTICLE"
1992	"CANNABINOID ACIDS ANALYSIS"	"LERCKER G;BOCCI F;FREGA N;BORTOLOMEAZZI R"	NA	"SATIVA L"	"LERCKER, G (CORRESPONDING AUTHOR), DIPARTIMENTO SCI \& TECNOL ALIMENTARI \& MICROBIOL, SEZ IND \& TECNOL ALIMENTARI, VIA DONIZETTI 6, I-50144 FLORENCE, ITALY; IST TECNOL ALIMENTARI, I-33100 UDINE, ITALY"	NA	"FARMACO"	"WebOfScience"	"ARTICLE"
1992	"DIFFERENTIATION OF COMMERCIAL POLYESTER FIBERS USING 2-DIMENSIONAL HIGH-PERFORMANCE LIQUID-CHROMATOGRAPHY (HPLC) AND MULTIVARIATE PATTERN-RECOGNITION TECHNIQUES"	"KRETSCHMER K;HELBIG W"	"FORENSIC SCIENCE; FIBERS; SYNTHETIC FIBERS; CHROMATOGRAPHIC ANALYSIS; 2-DIMENSIONAL HPLC; PATTERN RECOGNITION"	"THIN-LAYER CHROMATOGRAPHY; FORENSIC-SCIENCE; INFRARED-SPECTROSCOPY;; GAS-CHROMATOGRAPHY; TEXTILE FIBERS; MELTING-POINT; DYES; IDENTIFICATION"	"BERLIN HUMBOLDT UNIV,DEPT CRIMINALIST,DIV FORENS CHEM,W-1040 BERLIN,GERMANY"	NA	"JOURNAL OF FORENSIC SCIENCES"	"WebOfScience"	"ARTICLE"
1992	"THE VALUE OF INDUSTRIAL INQUIRIES IN CASES INVOLVING TEXTILE FIBERS"	"WIGGINS KG;COOK R"	"INQUIRIES; INDUSTRY; CLOTHING; ROPE; MANUFACTURE"	"THIN-LAYER CHROMATOGRAPHY; SIMULATED CONTACTS; CLOTHING MATERIALS; WOOL; FIBERS; TRANSFERRED FIBERS; BLENDED FABRICS; CAR SEATS; PERSISTENCE;; WEAR; REDISTRIBUTION"	"WIGGINS, KG (CORRESPONDING AUTHOR), METROPOLITAN POLICE FORENS SCI LAB,109 LAMBETH RD,LONDON SE1 7LP,ENGLAND"	"10.1016/S0015-7368(92)73065-5"	"JOURNAL OF THE FORENSIC SCIENCE SOCIETY"	"WebOfScience"	"NOTE"
1993	"ABO BLOOD GROUPING ON DENTAL TISSUE"	"XU XZ;LIAO J;FANG H;LI M;LIU ZY"	"FORENSIC SCIENCE HUMAN IDENTIFICATION; TOOTH GROUPING; ABO BLOOD; GROUPING; ABSORPTION-ELUTION TECHNIQUE; 2-DIMENSIONAL; ABSORPTION-INHIBITION TECHNIQUE; ODONTOLOGY"	"BONE"	"XU, XZ (CORRESPONDING AUTHOR), SHANGHAI MED UNIV,DEPT FORENS MED,SHANGHAI,PEOPLES R CHINA; SHANGHAI MED UNIV,EXPTL DIAG LAB,SHANGHAI,PEOPLES R CHINA; SHANGHAI INST FORENS SCI,FORENS BIOL SECT,SHANGHAI,PEOPLES R CHINA"	NA	"JOURNAL OF FORENSIC SCIENCES"	"WebOfScience"	"NOTE"
1993	"APPLICATION OF FT-IR DIAMOND CELL METHOD TO DISCRIMINATION OF PERSONAL HAIR"	"OHNISHI K;SAKANO T;FUJIWARA N"	"IR; HAIR; OXIDATION; KERATIN; FORENSIC CHEMISTRY; DETERMINATION"	NA	"OHNISHI, K (CORRESPONDING AUTHOR), MANDOM CORP,CENT RES LABS,5-12 JUNIKEN CHO,CHUO KU,OSAKA 540,JAPAN"	NA	"JAPANESE JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH"	"WebOfScience"	"NOTE"
1993	"FORENSIC-SCIENCE"	"BRETTELL TA"	NA	"PERFORMANCE LIQUID-CHROMATOGRAPHY; CAPILLARY GAS-CHROMATOGRAPHY;; SOLID-PHASE EXTRACTION; THIN-LAYER CHROMATOGRAPHY; DEOXYRIBONUCLEIC-ACID; DNA; POLYMERASE CHAIN-REACTION; MASS-SPECTRAL ANALYSIS; SINGLE TEXTILE; FIBERS; TRANSFORM SPECTROSCOPY DRIFTS; MULTIWAVELENGTH UV DETECTOR"	"BRETTELL, TA (CORRESPONDING AUTHOR), NEW JERSEY STATE POLICE, BUR FORENS SCI, BOX 7068, W TRENTON, NJ 08625 USA"	NA	"ANALYTICAL CHEMISTRY"	"WebOfScience"	"REVIEW"
1993	"FORENSIC ANALYSIS OF ACRYLIC COPOLYMER FIBERS BY INFRARED MICROSCOPY"	"TUNGOL MW;BARTICK EG;MONTASER A"	"INFRARED MICROSCOPY; INFRARED MICROSPECTROSCOPY; INFRARED SPECTROSCOPY; ACRYLIC FIBERS"	"SPECTRAL DATA-BASE; IDENTIFICATION"	"FED BUR INVEST ACAD,FORENS SCI RES UNIT,QUANTICO,VA 22135; GEORGE WASHINGTON UNIV,DEPT CHEM,WASHINGTON,DC 20052"	"10.1366/0003702934334552"	"APPLIED SPECTROSCOPY"	"WebOfScience"	"ARTICLE"
1993	"FORENSIC CHEMICAL STUDY ON COTTON BY ACID-CATALYZED PYROLYSIS-GAS CHROMATOGRAPHY"	"TAKEKOSHI Y;KANNO S;KAWASE S;KIHO T;UKAI S"	"ACID-CATALYZED PYROLYSIS GAS CHROMATOGRAPHY; COTTON; BLENDED YARN; HYDROCHLORIC ACID; PHOSPHORIC ACID; FURFURAL"	NA	"TAKEKOSHI, Y (CORRESPONDING AUTHOR), GIFU PREF POLICE H Q,SCI INVEST RES LAB,1-1 YABUTA,GIFU 500,JAPAN"	NA	"JAPANESE JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH"	"WebOfScience"	"ARTICLE"
1993	"HAIR AND SYNTHETIC-FIBER ANALYSIS IN FORENSIC-SCIENCE"	"MULLER JF;KRIEG G;PETERS S;VERNEXLOSET L;MAUNIT B;SANCHEZ N"	"ANALYTICAL TECHNIQUES; HAIR; FORENSIC SCIENCE; CRIMINALISTICS"	"CHROMATOGRAPHY-MASS-SPECTROMETRY; PYROLYSIS-GAS CHROMATOGRAPHY;; TRACE-ELEMENTS; SCALP HAIR; IDENTIFICATION; PROTEINS; ABUSE"	"MULLER, JF (CORRESPONDING AUTHOR), UNIV METZ,INST PHYS,SPECTROMETRIE MASSE \& CHIM LASER LAB,1 BD ARAGO,F-57078 METZ 3,FRANCE"	NA	"ANALUSIS"	"WebOfScience"	"ARTICLE"
1993	"IMMUNOHISTOCHEMICAL DISTRIBUTION OF EXTRACELLULAR-MATRIX PROTEINS AS A DIAGNOSTIC PARAMETER IN HEALTHY AND DISEASED GINGIVA"	"ROMANOS GE;STRUB JR;BERNIMOULIN JP"	"GINGIVAL HYPERPLASIA ANATOMY AND HISTOLOGY; GINGIVAL HYPERPLASIA; ETIOLOGY; CONNECTIVE TISSUE ANATOMY AND HISTOLOGY; COLLAGEN; GINGIVITIS; ETIOLOGY; GINGIVITIS ANATOMY AND HISTOLOGY"	"COLLAGEN TYPE-IV; CYCLOSPORINE THERAPY; NIFEDIPINE THERAPY;; CALLITHRIX-JACCHUS; CONNECTIVE-TISSUE; HYPERPLASIA; LOCALIZATION;; IMMUNOFLUORESCENCE; PERIODONTIUM; AZATHIOPRINE"	"ROMANOS, GE (CORRESPONDING AUTHOR), UNIV FREIBURG,DEPT PROSTHODONT,W-7800 FREIBURG,GERMANY; FREE UNIV BERLIN,DEPT PERIODONTOL,W-1000 BERLIN 33,GERMANY"	"10.1902/jop.1993.64.2.110"	"JOURNAL OF PERIODONTOLOGY"	"WebOfScience"	"ARTICLE"
1993	"THE SCANNING ELECTRON-MICROSCOPE (SEM) SUPPLEMENTED BY THE POLARIZED-LIGHT MICROSCOPE (PLM), AND VICE-VERSA"	"MCCRONE WC"	"MICROANALYSIS; LIGHT MICROSCOPY; POLARIZED LIGHT MICROSCOPY; SCANNING; ELECTRON MICROSCOPY; TRACE ANALYSIS; VINLAND MAP; TURIN SHROUD"	NA	"MCCRONE, WC (CORRESPONDING AUTHOR), MCCRONE RES INST INC,2820 S MICHIGAN AVE,CHICAGO,IL 60616, USA"	NA	"SCANNING MICROSCOPY"	"WebOfScience"	"ARTICLE"
1994	"A NEW APPROACH TO FORENSIC ANALYSIS WITH INFRARED MICROSCOPY - INTERNAL-REFLECTION SPECTROSCOPY"	"BARTICK EG;TUNGOL MW;REFFNER JA"	"INFRARED SPECTROMETRY; FORENSIC ANALYSIS; MICROSCOPY; IR"	"SPECTRAL DATA-BASE; DIFFUSE REFLECTANCE; IDENTIFICATION; FIBERS; TONERS"	"BARTICK, EG (CORRESPONDING AUTHOR), FBI ACAD,CTR FORENS SCI RES \& TRAINING,QUANTICO,VA 22135, USA; FBI LAB,WASHINGTON,DC 20535; SPECTRA TECH INC,STAMFORD,CT 06906"	"10.1016/0003-2670(94)85114-X"	"ANALYTICA CHIMICA ACTA"	"WebOfScience"	"ARTICLE"
1994	"AN IMPROVED HIGH-PERFORMANCE LIQUID-CHROMATOGRAPHY SYSTEM FOR THE ANALYSIS OF BASIC-DYES IN FORENSIC CASEWORK"	"GRIFFIN RME;SPEERS SJ;ELLIOTT L;TODD N;SOGOMO TG"	NA	"DIODE-ARRAY DETECTION; IDENTIFICATION; FIBERS"	"GRIFFIN, RME (CORRESPONDING AUTHOR), NO IRELAND FORENS SCI LAB,151 BELFAST RD,CARRICKFERGUS BT38 8PL,ANTRIM,NORTH IRELAND"	"10.1016/0021-9673(94)85233-2"	"JOURNAL OF CHROMATOGRAPHY A"	"WebOfScience"	"ARTICLE"
1994	"DETERMINATION OF THE AGE OF BALLPOINT PEN INK BY GAS AND DENSITOMETRIC THIN-LAYER CHROMATOGRAPHY"	"AGINSKY VN"	NA	"SOLVENT-EXTRACTION"	"AGINSKY, VN (CORRESPONDING AUTHOR), MINIST INTERIOR,CTR FORENS SCI,22 RASPLETINA ST,MOSCOW 123060,RUSSIA"	"10.1016/0021-9673(94)87081-0"	"JOURNAL OF CHROMATOGRAPHY A"	"WebOfScience"	"ARTICLE"
1994	"FIBRINOGEN - A DIAGNOSTIC MARKER FOR EARLY ISCHEMIA"	"RAZAAHMAD A"	"MYOCARDIAL INFARCTION; MARKER OF EARLY ISCHEMIA; CELL CHANGES; MYOCARDIAL FIBERS; FIBRINOGEN"	"MYOCARDIUM; NECROSIS; INJURY; CELLS"	"RAZAAHMAD, A (CORRESPONDING AUTHOR), VICTORIA GEN HOSP,DEPT PATHOL,HALIFAX B3H 2Y9,NS,CANADA; DALHOUSIE UNIV,HALIFAX,NS,CANADA"	"10.3109/10520299409106300"	"BIOTECHNIC AND HISTOCHEMISTRY"	"WebOfScience"	"ARTICLE"
1994	"SPECTROMICROGRAPHY AND COLORIMETRY - SAMPLE AND INSTRUMENTAL EFFECTS"	"EYRING MB"	"SPECTROPHOTOMETRY; COLORIMETRY; DYES; FIBERS; FORENSIC ANALYSIS; MICROSCOPY; MICROSPECTROSCOPY; SPECTROMICROGRAPHY"	"THIN-LAYER CHROMATOGRAPHY; SINGLE TEXTILE FIBERS; WOOL FIBERS; DYES;; MICROSPECTROPHOTOMETRY; EXTRACTION; DYESTUFFS; COLOR"	"EYRING, MB (CORRESPONDING AUTHOR), ARIZONA DEPT PUBL SAFETY, CRIME LAB, POB 6638, PHOENIX, AZ 85005 USA; MICRO FORENS LTD, PHOENIX, AZ 85067 USA"	"10.1016/0003-2670(94)85113-1"	"ANALYTICA CHIMICA ACTA"	"WebOfScience"	"ARTICLE"
1995	"A NEW MOUNTING MEDIUM FOR THE FORENSIC MICROSCOPY OF TEXTILE FIBERS"	"GRIEVE MC;DECK S"	"FIBERS; FORENSIC MICROSCOPY; MOUNTANTS"	NA	"GRIEVE, M (CORRESPONDING AUTHOR), BUNDESKRIMINALAMT,POSTFACH 1820,D-65193 WIESBADEN,GERMANY"	"10.1016/S1355-0306(95)72642-9"	"SCIENCE AND JUSTICE"	"WebOfScience"	"ARTICLE"
