"TI"	"PY"	"AU"	"DOI"	"IDW"	"IDS"	"C1W"	"C1S"	"Coder"	"DT"	"SO"	"AK"
"A NEW METHOD FOR FIBER COMPARISON USING POLARIZED INFRARED MICROSPECTROSCOPY"	1999	"CHO L;REFFNER JA;GATEWOOD BM;WETZEL DL;CHO LL;REFFNER JA;GATEWOOD BM;WETZEL DL"	"10.1520/jfs14452j"	"ORIENTATION"	"POLYESTER; ACCURACY;  ARTICLE;  CHEMICAL STRUCTURE;  INFRARED SPECTROSCOPY;  INTERMETHOD COMPARISON;  MATERIALS TESTING;  PRIORITY JOURNAL;  RADIATION ABSORPTION;  SPECTRAL SENSITIVITY;  TEXTILE"	"WETZEL, DL (CORRESPONDING AUTHOR), KANSAS STATE UNIV, MICROBEAM MOL SPECT LAB, SHELLENBERGER HALL, MANHATTAN, KS 66506 USA; KANSAS STATE UNIV, MICROBEAM MOL SPECT LAB, MANHATTAN, KS 66506 USA; SPECTRA TECH INC, SHELTON, CT 06484 USA; KANSAS STATE UNIV, CLOTHING TEXT \& INTERIOR DESIGN DEPT, MANHATTAN, KS 66506 USA"	"KANSAS STATE UNIVERSITY, MICROBEAM MOLEC. SPECTROSC. LAB., SHELLENBERGER HALL, MANHATTAN, KS 66506, UNITED STATES;SPECTRA-TECH INC., 2 RESEARCH DRIVE, SHELTON, CT 06484, UNITED STATES;KANSAS STATE UNIVERSITY, CLOTHING, TEXTILES INTERIOR DES. D., JUSTIN HALL, MANHATTAN, KS 66506, UNITED STATES"	"Scopus,WebOfScience"	"ARTICLE"	"JOURNAL OF FORENSIC SCIENCES"	"FORENSIC SCIENCE CRIMINALISTICS;FIBER;POLYESTER;INFRARED MICROSCOPY;POLARIZED INFRARED SPECTROSCOPY;DICHROISM;FOURIER TRANSFORM INFRARED;MICROSPECTROSCOPY;TEXTILE;SINGLE-FIBER ANALYSIS;FOURIER TRANSFORM INFRARED MICROSPECTROSCOPY"
"A NEW METHOD FOR THE REMOVAL AND ANALYSIS OF SMALL PARTICLES ADHERING TO CARPET FIBER SURFACES"	2013	"BOWEN AM;STONEY DA"	"10.1111/1556-4029.12071"	""	""	"BOWEN, A (CORRESPONDING AUTHOR), US POSTAL INSPECT SERV, NATL FORENS LAB, 22433 RANDOLPH DR, DULLES, VA 20104 USA; BOWEN, ANDREW; STONEY, DAVID, STONEY FORENS INC, CHANTILLY, VA 20151 USA"	"STONEY FORENSIC, INC., 14101 WILLARD ROAD, SUITE G, CHANTILLY, VA, UNITED STATES;U.S. POSTAL INSPECTION SERVICE, NATIONAL FORENSIC LABORATORY, 22433 RANDOLPH DRIVE, DULLES, VA, UNITED STATES"	"Scopus,WebOfScience"	"ARTICLE"	"JOURNAL OF FORENSIC SCIENCES"	"FORENSIC SCIENCES;TRACE EVIDENCE;FIBERS;DUST;SCANNING ELECTRON;MICROSCOPY;PARTICLE COMBINATION ANALYSIS;SCANNING ELECTRON MICROSCOPY"
"A NEW MOUNTING MEDIUM FOR THE FORENSIC MICROSCOPY OF TEXTILE FIBERS"	1995	"GRIEVE MC;DECK S"	"10.1016/S1355-0306(95)72642-9"	""	"GLYCEROL;  WATER;  XYLENE; ARTICLE;  FLUORESCENCE;  LABORATORY TEST;  MICROSCOPY;  SOLUBILITY;  TECHNIQUE;  TEXTILE;  ULTRAVIOLET IRRADIATION"	"GRIEVE, M (CORRESPONDING AUTHOR), BUNDESKRIMINALAMT,POSTFACH 1820,D-65193 WIESBADEN,GERMANY"	"BUNDESKRIMINALAMT KT33, POSTFACH 1820, 65193 WIESBADEN, GERMANY"	"Scopus,WebOfScience"	"ARTICLE"	"SCIENCE AND JUSTICE"	"FIBERS;FORENSIC MICROSCOPY;MOUNTANTS;FIBRES"
"A PILOT STUDY TO DETERMINE THE BACKGROUND POPULATION OF FOREIGN FIBRE GROUPS ON A COTTON/POLYESTER T-SHIRT"	2006	"MARNANE RN;ELLIOT DA;COULSON SA"	"10.1016/S1355-0306(06)71601-X"	"TEXTILE FIBERS; CAR SEATS"	"POLYESTER; ARTICLE;  BAYES THEOREM;  CLOTHING;  COTTON;  FORENSIC IDENTIFICATION;  PILOT STUDY;  PROBABILITY;  SYNTHETIC FIBER"	"COULSON, SA (CORRESPONDING AUTHOR), UNIV AUCKLAND, PRIVATE BAG 92019, AUCKLAND 1, NEW ZEALAND; UNIV AUCKLAND, AUCKLAND 1, NEW ZEALAND; ESR, AUCKLAND, NEW ZEALAND"	"UNIVERSITY OF AUCKLAND, PRIVATE BAG 92019, AUCKLAND, NEW ZEALAND;ESR, PRIVATE BAG 92021, AUCKLAND, NEW ZEALAND"	"Scopus,WebOfScience"	"ARTICLE"	"SCIENCE AND JUSTICE"	"FIBRES;FIBRES EVIDENCE;BACKGROUND POPULATION;T-SHIRTS;SIZE OF GROUPS"
"A PRACTICAL ASPECT OF THE BAYESIAN INTERPRETATION OF FIBRE EVIDENCE"	1992	"GRIEVE MC;DUNLOP J"	"10.1016/S0015-7368(92)73066-7"	""	"ACCURACY;  ANALYTIC METHOD;  ASSAY;  BAYES THEOREM;  CLOTHING;  CONFERENCE PAPER;  FIBER;  RECIPIENT"	""	"USACIL-EUROPE, BETTS AREA 272, FRIEDBERGER LANDSTRASSE,  6, FRANKFURT, GERMANY"	"Scopus"	"NOTE"	"JOURNAL OF THE FORENSIC SCIENCE SOCIETY"	"BAYESIAN INTERPRETATION;FIBRE FREQUENCY;FIBRES"
"A PRELIMINARY INVESTIGATION OF TEXTILE FIBERS IN SMOTHERING SCENARIOS AND ALTERNATIVE LEGITIMATE ACTIVITIES"	2017	"SCHNEGG M;TURCHANY M;DEVITERNE M;GUEISSAZ L;HESS S;MASSONNET G;SCHNEGG M;TURCHANY M;DEVITERNE M;HESS S;MASSONNET G"	"10.1016/j.forsciint.2017.08.020"	"SIMULATED CONTACTS; CLOTHING MATERIALS; PERSISTENCE; WEAR; SEATS"	"ADULT;  ARTICLE;  CONTROLLED STUDY;  CRIMINAL BEHAVIOR;  FACE;  FEMALE;  FRICTION;  GENERAL DEVICE;  HOMICIDE;  HUMAN;  HUMAN EXPERIMENT;  MALE;  NIGHT SLEEP;  PILLOW;  PRIORITY JOURNAL;  SIMULATION;  SMOTHERING;  SUFFOCATION;  TEXTILE FIBER;  VICTIM;  YOUNG ADULT"	"SCHNEGG, M (CORRESPONDING AUTHOR), UNIL BATOCHIM, ECOLE SCI CRIMINELLES, CH-1015 LAUSANNE, SWITZERLAND; SCHNEGG, MICHAEL; TURCHANY, MORGANE; DEVITERNE, MARIE; GUEISSAZ, LINE; MASSONNET, GENEVIEVE, UNIV LAUSANNE, SCH CRIMINAL JUSTICE, BATOCHIM, CH-1015 LAUSANNE, SWITZERLAND; HESS, SABINE, FORENS INST ZURICH, ZEUGHAUSSTR 11, CH-8004 ZURICH, SWITZERLAND"	"UNIVERSITY OF LAUSANNE, SCHOOL OF CRIMINAL JUSTICE, BATOCHIME  DORIGNY, LAUSANNE, CH-1015, SWITZERLAND;FORENSISCHES INSTITUT ZRICH, ZEUGHAUSSTRASSE 11, ZRICH, CH-8004, SWITZERLAND"	"Scopus,WebOfScience"	"ARTICLE"	"FORENSIC SCIENCE INTERNATIONAL"	"1:1 TAPING;FIBER DISTRIBUTION;FIBER TRANSFER;FORENSIC INTERPRETATION;TRACE EVIDENCE"
"A QUANTITATIVE DIFFERENTIATION METHOD FOR ACRYLIC FIBERS BY INFRARED SPECTROSCOPY"	2005	"CAUSIN V;MAREGA C;SCHIAVONE S;MARIGO A"	"10.1016/j.forsciint.2005.02.004"	"FORENSIC ANALYSIS; COPOLYMER FIBERS; CRIME SCENE; MICROSCOPY;; POLYACRYLONITRILE; BEHAVIOR; SCIENCE; SYSTEM"	"ACRYLIC ACID;  CARBON;  CARBONYL DERIVATIVE;  HYDROGEN;  MONOMER;  NITRILE;  POLYMER; ARTICLE;  CHEMICAL BOND;  INFRARED SPECTROSCOPY;  MEASUREMENT;  PRIORITY JOURNAL;  QUANTITATIVE ANALYSIS;  TEXTILE FIBER"	"CAUSIN, V (CORRESPONDING AUTHOR), UNIV PADUA, DIPARTIMENTO SCI CHIM, VIA MARZOLO 1, I-35131 PADUA, ITALY; UNIV PADUA, DIPARTIMENTO SCI CHIM, I-35131 PADUA, ITALY; SEZ CHIM ESPLOSIVI \& INFIAMMABILI, REPARTO CARABINIERI INVEST SCI, I-00191 ROME, ITALY"	"DIPARTIMENTO DI SCIENZE CHIMICHE DELL'UNIVERSIT, VIA MARZOLO 1, 35131 PADOVA, ITALY;SEZIONE DI CHIMICA, ESPLOSIVI ED INFIAMMABILI, REPARTO CARABINIERI INVESTIGAZIONI SCIENTIFICHE, VIALE TOR DI QUINTO 151, 00191 ROMA, ITALY"	"Scopus,WebOfScience"	"ARTICLE"	"FORENSIC SCIENCE INTERNATIONAL"	"FORENSIC SCIENCE;FIBERS;COPOLYMERS;ACRYLICS;POLYACRYLONITRILE;INFRARED SPECTROSCOPY;X-RAY DIFFRACTION;CRYSTALLINITY"
"A REAL-TIME COLOR IMAGE PROCESSING SYSTEM FOR FORENSIC FIBER INVESTIGATIONS"	1999	"PAULSSON N;STOCKLASSA B"	"10.1016/S0379-0738(99)00046-8"	""	"ARTICLE;  CAMERA;  COLOR;  FIBER;  FORENSIC SCIENCE;  IMAGE PROCESSING;  PRIORITY JOURNAL;  TECHNIQUE;  TEXTILE"	"PAULSSON, N (CORRESPONDING AUTHOR), SKL, NATL LAB FORENS SCI, S-58194 LINKOPING, SWEDEN; SKL, NATL LAB FORENS SCI, S-58194 LINKOPING, SWEDEN"	"SKL - NATL. LAB. OF FORENSIC SCIENCE, S-58 1 94, LINKPING, SWEDEN"	"Scopus,WebOfScience"	"ARTICLE"	"FORENSIC SCIENCE INTERNATIONAL"	"FORENSIC SCIENCE;FIBER;IMAGE PROCESSING;MACHINE VISION;COLOR"
"A REPLY TO: THE TRANSFERABILITY OF DIATOMS TO CLOTHING AND THE METHODS APPROPRIATE FOR THEIR COLLECTION AND ANALYSIS IN FORENSIC GEOSCIENCE, FORENSIC SCI. INT. 241 (2014) 127-137"	2015	"DRAGUTINOVIC A;UITDEHAAG S;KUIPER I"	"10.1016/j.forsciint.2014.11.018"	""	"ALCOHOL;  HYDROGEN PEROXIDE;  WATER; CLOTHING;  DIATOM;  EXTRACTION;  FIBER;  FLASK SHAKER;  FOAMING;  FORENSIC SCIENCE;  INTERMETHOD COMPARISON;  LETTER;  MEDICAL DEVICE;  NONHUMAN;  PHYSICAL PARAMETERS;  RINSING WITH ETHANOL METHOD;  RINSING WITH WATER METHOD;  SHAKER;  HUMAN;  LABORATORY DIAGNOSIS;  PROCEDURES;  DIATOMS;  HUMANS;  SPECIMEN HANDLING"	""	"NETHERLANDS FORENSIC INSTITUTE, LAAN VAN YPENBURG 6, GB THE HAGUE, 2497, NETHERLANDS"	"Scopus"	"LETTER"	"FORENSIC SCIENCE INTERNATIONAL"	"CLOTHING;DIATOMS;FORENSIC GEOSCIENCE;SURFACE WATER;TRACE EVIDENCE;TRANSFER"
"A SENSITIVE HPLC-MS/MS METHOD FOR THE ANALYSIS OF FIBER DYES"	2018	"HU C;ZHU J;MEI H;SHI H;GUO H;ZHANG G;WANG P;LU L;ZHENG X"	"10.1016/j.forc.2018.08.001"	"LIQUID-CHROMATOGRAPHY; FORENSIC ANALYSIS; TEXTILE FIBERS;; MASS-SPECTROMETRY; COTTON FIBERS; IDENTIFICATION; EXTRACTION;; MICROSPECTROPHOTOMETRY; YELLOW"	""	"ZHU, J (CORRESPONDING AUTHOR), MINIST PUBL SECUR, INST FORENS SCI, BEIJING 100038, PEOPLES R CHINA; HU, CAN; ZHU, JUN; MEI, HONGCHENG; SHI, HUIXIA; GUO, HONGLING; ZHANG, GUANNAN; WANG, PING; LU, LIANG; ZHENG, XIAOYU, MINIST PUBL SECUR, INST FORENS SCI, BEIJING 100038, PEOPLES R CHINA"	"INSTITUTE OF FORENSIC SCIENCE, MINISTRY OF PUBLIC SECURITY, BEIJING, 100038, CHINA"	"Scopus,WebOfScience"	"ARTICLE"	"FORENSIC CHEMISTRY"	"FORENSIC SCIENCE;FIBER DYES;HPLC-MS/MS;SENSITIVITY"
