"TI"	"PY"	"AU"	"DOI"	"IDW"	"IDS"	"C1W"	"C1S"	"Coder"	"DT"	"SO"	"AK"
"FIBERS UNDER FIRE: SUGGESTIONS FOR IMPROVING THEIR USE TO PROVIDE FORENSIC EVIDENCE"	2001	"GRIEVE MC;WIGGINS KG"	"10.1520/jfs15055j"	"CLASSIFICATION; PROPOSITIONS; HIERARCHY"	"DNA; ANALYSIS;  CONFERENCE PAPER;  CRIMINAL JUSTICE;  CRIMINOLOGY;  EVIDENCE BASED MEDICINE;  FORENSIC SCIENCE;  GENETIC ENGINEERING;  INFORMATION;  PRIORITY JOURNAL;  TECHNOLOGY"	"GRIEVE, MC (CORRESPONDING AUTHOR), KT33 FORENS SCI INST, EUROPEAN FIBRES GRP, GERMAN FED POLICE OFF, BUNDESKRIMINALAMT, THAERSTR 11, D-65193 WIESBADEN, GERMANY; KT33 FORENS SCI INST, EUROPEAN FIBRES GRP, GERMAN FED POLICE OFF, BUNDESKRIMINALAMT, D-65193 WIESBADEN, GERMANY; METROPOLITAN POLICE FORENS SCI LAB, EUROPEAN FIBRES GRP, RES \& DEV, FORENS SCI SERV, LONDON SE1 7LP, ENGLAND"	"EUROPEAN FIBRES GROUP, KT33 FORENSIC SCIENCE INSTITUTE, GERMAN FEDERAL POLICE OFFICE, THAERSTRASSE 11, 65193 WIESBADEN, GERMANY;EUROPEAN FIBRES GROUP, RESEARCH AND DEVELOPMENT, METROPOLITAN LABORATORY, FORENSIC SCIENCE SERVICE, 109 LAMBETH RD., LONDON SE1 7LP, UNITED KINGDOM"	"Scopus,WebOfScience"	"CONFERENCE MATERIAL"	"JOURNAL OF FORENSIC SCIENCES"	"FORENSIC SCIENCE;CRIMINALISTICS;FIBERS;EXAMINATION;COMPARISON;FOURIER TRANSFORM INFRARED-MICROSCOPY MICROSPECTROPHOTOMETRY;SAMPLING;FIBER FREQUENCY;EVIDENTIAL VALUE"
"FIBRE DIAMETER AND THE TRANSFER OF WOOL FIBRES"	1985	"CORDINER SJ;STRINGER P;WILSON PD"	"10.1016/S0015-7368(85)72430-9"	""	"CONTROLLED STUDY;  DIAGNOSIS;  DIAMETER;  EDUCATION;  ETIOLOGY;  FIBER;  FORENSIC MEDICINE;  FRAGMENTATION;  LEGAL ASPECT;  NONHUMAN;  PRELIMINARY COMMUNICATION;  THEORETICAL STUDY;  TRANSFER;  WOOL"	""	"FORENSIC SECTION, CHEMISTRY DIVISION, DEPARTMENT OF SCIENTIFIC AND INDUSTRIAL RESEARCH, PRIVATE BAG, PETONE, NEW ZEALAND"	"Scopus"	"NOTE"	"JOURNAL OF THE FORENSIC SCIENCE SOCIETY"	"DIAMETER;FIBRE;TRANSFER;WOOL"
"FIBRE MAPPING - A CASE STUDY"	2004	"COYLE TJ;LARKIN A;SMITH K;MAYO S;CHAN A;HUNT N;COYLE TJ;LARKIN A;SMITH K;MAYO S;HUNT N"	"10.1016/S1355-0306(04)71713-X"	""	"ANALYTIC METHOD;  ARTICLE;  CRIME;  FIBER;  FORENSIC IDENTIFICATION;  GERMANY;  PUBLICATION;  RECORDING;  SCIENTIFIC LITERATURE;  UNITED KINGDOM"	"COYLE, T (CORRESPONDING AUTHOR), FORENS ALLIANCE, CULHAM SCI CTR, F5, ABINGDON OX14 3ED, OXON, ENGLAND; FORENS ALLIANCE, CULHAM SCI CTR, ABINGDON OX14 3ED, OXON, ENGLAND; THAMES VALLEY POLICE SCI SUPPORT, KIDLINGTON OX5 2NX, ENGLAND; PROSECUT COUNSEL, LONDON EC4A 2AT, ENGLAND; CRANFIELD UNIV, SHRIVENHAM SN6 8LA, OXON, ENGLAND; FORENS PATHOL SERV, CULHAM SCI CTR, ABINGDON OX14 3ED, OXON, ENGLAND"	"FORENSIC ALLIANCE, CULHAM SCIENCE CENTRE, ABINGDON OX14 3ED, UNITED KINGDOM;THAMES VALLEY POLICE, SCIENTIFIC SUPPORT, OXFORD ROAD, KIDLINGTON OX5 2NX, UNITED KINGDOM;PROSECUTION COUNSEL, 187 FLEET STREET, LONDON EC4A 2AT, UNITED KINGDOM;CRANFIELD UNIVERSITY, RMCS, SHRIVENHAM, OXFORDSHIRE SN6 8LA, UNITED KINGDOM;FORENSIC PATHOLOGY SERVICES, CULHAM SCIENCE CENTRE, ABINGDON OX14 3ED, UNITED KINGDOM"	"Scopus,WebOfScience"	"ARTICLE"	"SCIENCE AND JUSTICE"	"FORENSIC SCIENCE;CRIMINALISTICS;FIBRES;ONE-TO-ONE TAPING;DISTRIBUTION;MAPPING;PATHOLOGY;ADVOCATE;FIRST DERIVATIVE;FLUORESCENCE;COMPUTER PRESENTATION;JURY PACK"
"FIBRE PERSISTENCE ON IMMERSED GARMENT-INFLUENCE OF KNITTED RECIPIENT FABRICS"	2015	"LEPOT L;VANDEN DRIESSCHE T;LUNSTROOT K;GASON F;DE WAEL K;LEPOT L;VANDEN DRIESSCHE T;LUNSTROOT K;GASON K"	"10.1016/j.scijus.2015.02.006"	"TEXTILE FIBERS; SIMULATED CONTACTS; CLOTHING MATERIALS; TRANSFERRED; FIBERS; RECOVERY; WEAR; REDISTRIBUTION"	"POLYESTER; ARTICLE;  CLOTHING;  DENSITY;  IMMERSION;  SURFACE PROPERTY;  TEXTILE FIBER"	"LEPOT, L (CORRESPONDING AUTHOR), NATL INST CRIMINALIST \& CRIMINOL, FIBRES \& TEXT LAB, CHAUSSEE VILVORDE 100, B-1120 BRUSSELS, BELGIUM; LEPOT, L; VANDEN DRIESSCHE, T; LUNSTROOT, K; GASON, F; DE WAEL, K, NATL INST CRIMINALIST \& CRIMINOL, FIBRES \& TEXT LAB, B-1120 BRUSSELS, BELGIUM"	"NATIONAL INSTITUTE FOR CRIMINALISTICS AND CRIMINOLOGY, FIBRES AND TEXTILES LABORATORY, CHAUSSE DE VILVORDE 100, BRUSSELS, B-1120, BELGIUM"	"Scopus,WebOfScience"	"ARTICLE"	"SCIENCE AND JUSTICE"	"FORENSIC FIBRE INVESTIGATION;PERSISTENCE;UNDERWATER CONDITIONS;RECIPIENT GARMENT"
"FIBRE PERSISTENCE ON IMMERSED GARMENT - INFLUENCE OF WATER FLOW AND STAY IN RUNNING WATER"	2015	"LEPOT L;VANDEN DRIESSCHE T"	"10.1016/j.scijus.2015.09.003"	"HEAD HAIR; TRANSFERRED FIBERS; REDISTRIBUTION; RECOVERY"	"RAIN;  TAP WATER;  WATER; ARTICLE;  COTTON;  FIBER;  TEXTILE"	"LEPOT, L (CORRESPONDING AUTHOR), NATL INST CRIMINALIST \& CRIMINOL, FIBRES \& TEXT LAB, CHAUSSEE VILVORDE 100, B-1120 BRUSSELS, BELGIUM; LEPOT, L; VANDEN DRIESSCHE, T, NATL INST CRIMINALIST \& CRIMINOL, FIBRES \& TEXT LAB, CHAUSSEE VILVORDE 100, B-1120 BRUSSELS, BELGIUM"	"NATIONAL INSTITUTE FOR CRIMINALISTICS AND CRIMINOLOGY, FIBRES AND TEXTILES LABORATORY, CHAUSSE DE VILVORDE 100, BRUSSELS, B-1120, BELGIUM"	"Scopus,WebOfScience"	"ARTICLE"	"SCIENCE AND JUSTICE"	"FORENSIC FIBRE INVESTIGATION;RETENTION;UNDERWATER CONDITIONS;WATERWAY;ACTIVITY"
"FIBRE TRANSFER EXPERIMENTS ONTO CAR SEATS"	1996	"ROUX CP;CHABLE J;MARGOT P"	"10.1016/S1355-0306(96)72589-3"	"SIMULATED CONTACTS; CLOTHING MATERIALS; FIBERS; PERSISTENCE; WEAR"	"ARTICLE;  CAR DRIVING;  CLOTHING;  DRIVER;  FORENSIC SCIENCE;  HUMAN;  SEAT;  TEXTILE;  TIME"	"UNIV LAUSANNE,UNIL,INST POLICE SCI \& CRIMINOL,CH-1015 LAUSANNE,SWITZERLAND"	"INST. POLICE SCI. ET DE CRIMINOLOGIE, UNIVERSITY OF LAUSANNE, UNIL - BATIMENT DE CHIMIE, 1015 LAUSANNE, SWITZERLAND;DEPARTMENT OF CHEMISTRY, UNIVERSITY OF TECHNOLOGY, PO BOX 123, SYDNEY, NSW 2007, AUSTRALIA"	"Scopus,WebOfScience"	"ARTICLE"	"SCIENCE AND JUSTICE"	"FORENSIC SCIENCE;CRIMINALISTICS;FIBRE EVIDENCE;FIBRE TRANSFER;SIGNIFICANCE OF FIBRE EVIDENCE"
"FIBRES USED IN THE CONSTRUCTION OF CAR SEATS - AN ASSESSMENT OF EVIDENTIAL VALUE"	2012	"COYLE TJ;JONES J;SHAW C;FRIEDRICHS R"	"10.1016/j.scijus.2011.12.002"	""	"DYE;  POLYESTER; ARTICLE;  CAR;  CAR SEAT FIBER;  CLOTHING;  COLOR;  FIBER;  MICROSPECTROPHOTOMETRY;  SEAT"	"COYLE, T (CORRESPONDING AUTHOR), CONTACT TRACES LTD, UNIT 26, E CENT 127,MILTON PK, ABINGDON OX144SA, OXON, ENGLAND; COYLE, T; JONES, J; SHAW, C; FRIEDRICHS, R, CONTACT TRACES LTD, UNIT 26, ABINGDON OX144SA, OXON, ENGLAND"	"CONTACT TRACES LTD, UNIT 26, EAST CENTRAL 127, MILTON PARK, ABINGDON, OX144SA, UNITED KINGDOM"	"Scopus,WebOfScience"	"ARTICLE"	"SCIENCE AND JUSTICE"	"FIBRES;FORENSIC;CAR SEAT;EVIDENTIAL VALUE;MSP;RAMAN"
"FORENSIC ANALYSIS OF BICOMPONENT FIBERS USING INFRARED CHEMICAL IMAGING"	2006	"FLYNN K;O'LEARY R;ROUX CP;REEDY BJ"	"10.1111/j.1556-4029.2006.00116.x"	"ACRYLIC FIBERS"	"POLYMER; ARTICLE;  FIBER;  FORENSIC SCIENCE;  FOURIER TRANSFORMATION;  IMAGING SYSTEM;  INFRARED SPECTROSCOPY;  PRIORITY JOURNAL;  SCANNING ELECTRON MICROSCOPY"	"REEDY, BJ (CORRESPONDING AUTHOR), UNIV TECHNOL SYDNEY, DEPT CHEM MAT \& FORENS SCI, CTR FORENS SCI, POB 123, SYDNEY, NSW 2007, AUSTRALIA; UNIV TECHNOL SYDNEY, DEPT CHEM MAT \& FORENS SCI, CTR FORENS SCI, SYDNEY, NSW 2007, AUSTRALIA"	"DEPARTMENT OF CHEMISTRY, MATERIALS AND FORENSIC SCIENCE, UNIVERSITY OF TECHNOLOGY SYDNEY, PO BOX 123, BROADWAY, NSW 2007, AUSTRALIA;CENTRE FOR FORENSIC SCIENCE, UNIVERSITY OF TECHNOLOGY, SYDNEY, PO BOX 123, BROADWAY, NSW 2007, AUSTRALIA"	"Scopus,WebOfScience"	"ARTICLE"	"JOURNAL OF FORENSIC SCIENCES"	"FORENSIC SCIENCE;CHEMICAL IMAGING;BICOMPONENT FIBERS;INFRARED;FTIR;HYPERSPECTRAL IMAGING"
"FORENSIC CLASSIFICATION OF POLYESTER FIBERS BY INFRARED DICHROIC RATIO PATTERN RECOGNITION"	1999	"CHO L;REFFNER JA;WETZEL DL;CHO LL;REFFNER JA;WETZEL DL"	"10.1520/jfs14453j"	""	"POLYESTER; ARTICLE;  CHEMICAL COMPOSITION;  CLASSIFICATION;  DISCRIMINANT ANALYSIS;  INFRARED RADIATION;  PATTERN RECOGNITION;  POLARIZATION;  PRIORITY JOURNAL;  RADIATION ABSORPTION;  SPECTROMETRY;  STATISTICAL ANALYSIS;  STRUCTURE ANALYSIS;  TEXTILE"	"WETZEL, DL (CORRESPONDING AUTHOR), KANSAS STATE UNIV, MICROBEAM MOL SPECT LAB, SHELLENBERGER HALL, MANHATTAN, KS 66506 USA; KANSAS STATE UNIV, MICROBEAM MOL SPECT LAB, MANHATTAN, KS 66506 USA; SPECTRA TECH INC, SHELTON, CT 06484 USA"	"KANSAS STATE UNIVERSITY, MICROBEAM MOLEC. SPECTROSC. LAB., SHELLENBERGER HALL, MANHATTAN, KS 66506, UNITED STATES;SPECTRA-TECH INC., 2 RESEARCH DRIVE, SHELTON, CT 06484, UNITED STATES"	"Scopus,WebOfScience"	"ARTICLE"	"JOURNAL OF FORENSIC SCIENCES"	"FORENSIC SCIENCE CRIMINALISTICS;FIBER ANALYSIS;FOURIER TRANSFORM;INFRARED (FT-IR) MICROSPECTROSCOPY;POLARIZATION;DICHROISM;INFRARED;DISCRIMINANT;ANALYSIS;DISCRIMINANT ANALYSIS;FOURIER TRANSFORM INFRARED (FT-IR) MICROSPECTROSCOPY"
"FORENSIC DISCRIMINATION OF DYED HAIR COLOR: I. UV-VISIBLE MICROSPECTROPHOTOMETRY"	2010	"BARRETT JA;SIEGEL JA;GOODPASTER JV"	"10.1111/j.1556-4029.2009.01306.x"	"DYESTUFFS; FIBER"	""	"GOODPASTER, JV (CORRESPONDING AUTHOR), INDIANA UNIV PURDUE UNIV, FORENS \& INVESTIGAT SCI PROGRAM, DEPT CHEM \& CHEM BIOL, 402 N BLACKFORD ST,LD 326, INDIANAPOLIS, IN 46202 USA; SIEGEL, JAY A; GOODPASTER, JOHN V, INDIANA UNIV PURDUE UNIV, FORENS \& INVESTIGAT SCI PROGRAM, DEPT CHEM \& CHEM BIOL, INDIANAPOLIS, IN 46202 USA; BARRETT, JULIE A, BUTLER UNIV, DEPT CHEM, INDIANAPOLIS, IN 46208 USA"	""	"WebOfScience"	"ARTICLE"	"JOURNAL OF FORENSIC SCIENCES"	"FORENSIC SCIENCE;HAIR DYES;MICROSPECTROPHOTOMETRY;HAIR EXAMINATION;SPECTRAL COMPARISON;COSMETIC MODIFICATIONS"
"FORENSIC EVIDENCE IN APPAREL FABRICS DUE TO STAB EVENTS"	2009	"KEMP SE;CARR DJ;KIESER JA;NIVEN BE;TAYLOR MC"	"10.1016/j.forsciint.2009.06.013"	"SHARP; PATTERNS; KNIVES; WOUNDS; CUTS"	"ADULT;  ARTICLE;  CONTROLLED STUDY;  FORENSIC IDENTIFICATION;  FORENSIC SCIENCE;  HOMICIDE;  HUMAN;  HUMAN EXPERIMENT;  KNIFE CUT;  LEGAL EVIDENCE;  MALE;  PRIORITY JOURNAL;  REPRODUCIBILITY;  STAB WOUND;  TEXTILE FIBER; ADULT;  COTTON FIBER;  FORENSIC MEDICINE;  HUMANS;  LAUNDERING;  MICROSCOPY;  MODELS; BIOLOGICAL;  PHOTOGRAPHY;  WEAPONS;  WOUNDS; STAB"	"CARR, DJ (CORRESPONDING AUTHOR), POB 56, DUNEDIN 9054, NEW ZEALAND; KEMP, S E; CARR, D J, UNIV OTAGO, DEPT CLOTHING \& TEXT SCI, DUNEDIN, NEW ZEALAND; KIESER, J, UNIV OTAGO, SIR JOHN WALSH INST, DUNEDIN, NEW ZEALAND; NIVEN, B E, UNIV OTAGO, CTR APPLICAT STAT \& MATH, DUNEDIN, NEW ZEALAND; TAYLOR, M C, ENVIRONM SCI \& RES, CHRISTCHURCH, NEW ZEALAND"	"DEPARTMENT OF CLOTHING AND TEXTILE SCIENCES, UNIVERSITY OF OTAGO, DUNEDIN, NEW ZEALAND;SIR JOHN WALSH INSTITUTE, UNIVERSITY OF OTAGO, DUNEDIN, NEW ZEALAND;CENTRE FOR THE APPLICATION OF STATISTICS AND MATHEMATICS, UNIVERSITY OF OTAGO, DUNEDIN, NEW ZEALAND;ENVIRONMENTAL SCIENCE AND RESEARCH, CHRISTCHURCH, NEW ZEALAND"	"Scopus,WebOfScience"	"ARTICLE"	"FORENSIC SCIENCE INTERNATIONAL"	"KNIFE;FABRIC CONSTRUCTION;FIBRE;DEGRADATION;LAUNDERING;IMPACT RIG"
"FORENSIC IDENTIFICATION OF DYES EXTRACTED FROM TEXTILE FIBERS BY LIQUID CHROMATOGRAPHY MASS SPECTROMETRY (LC-MS)"	2004	"HUANG M;YINON J;SIGMAN ME"	"10.1520/jfs2003295"	"AZO DYES; SULFONATED DYES; PEPTIDES"	"ACETIC ACID;  ACID BLUE 40;  ACID VIOLET 7;  DIRECT BLUE 71;  DIRECT BLUE 75;  DIRECT RED 1;  DISPERSE BLUE 3;  DISPERSE BLUE 56;  DISPERSE ORANGE 13;  DISPERSE ORANGE 25;  DISPERSE ORANGE 3;  DISPERSE RED 1;  DISPERSE RED 13;  DISPERSE YELLOW 3;  DISPERSE YELLOW 9;  DYE;  FAT BROWN;  MALACHITE GREEN;  MALACHITE GREEN OXALATE;  OIL SCARLET;  ORANGE G;  RHODAMINE B;  TARTRAZINE;  TRIETHYLAMINE;  UNCLASSIFIED DRUG; CHEMICAL STRUCTURE;  CLOTHING;  CONFERENCE PAPER;  CRIME;  FIBER;  FORENSIC IDENTIFICATION;  FORENSIC SCIENCE;  HIGH PERFORMANCE LIQUID CHROMATOGRAPHY;  INDIGO;  LIQUID CHROMATOGRAPHY;  MASS SPECTROMETRY;  PRIORITY JOURNAL;  TEXTILE FIBER"	"SIGMAN, ME (CORRESPONDING AUTHOR), UNIV CENT FLORIDA, NATL CTR FORENS SCI, POB 162367, ORLANDO, FL 32816 USA; UNIV CENT FLORIDA, NATL CTR FORENS SCI, ORLANDO, FL 32816 USA; UNIV CENT FLORIDA, DEPT CHEM, ORLANDO, FL 32816 USA"	"NATIONAL CENTER FOR FORENSIC SCIENCE, UNIVERSITY OF CENTRAL FLORIDA, P.O. BOX 162367, ORLANDO, FL 32816-2367, UNITED STATES;DEPARTMENT OF CHEMISTRY, NATIONAL CENTER FOR FORENSIC SCIENCE, UNIVERSITY OF CENTRAL FLORIDA, P.O. BOX 162367, ORLANDO, FL, UNITED STATES"	"Scopus,WebOfScience"	"CONFERENCE MATERIAL"	"JOURNAL OF FORENSIC SCIENCES"	"FORENSIC SCIENCE;TEXTILE DYE;LC-MS;TRACE ANALYSIS"
"FORENSIC POTENTIAL OF ATOMIC FORCE MICROSCOPY"	2016	"SMIJS T;GALLI F;VAN ASTEN A"	"10.1016/j.forc.2016.10.005"	"BALLPOINT PEN INKS; PRESSURE-SENSITIVE ADHESIVES; IONIZATION; MASS-SPECTROMETRY; ENHANCED RAMAN-SPECTROSCOPY; GUNSHOT RESIDUE; PARTICLES; SCANNING LASER-ABLATION; LATENT FINGERPRINTS; SHOOTING; DISTANCE; AGE-DETERMINATION; FTIR/ATR ANALYSIS"	""	"SMIJS, T (CORRESPONDING AUTHOR), NETHERLANDS FORENS INST, PO 24044, NL-2490 AA THE HAGUE, NETHERLANDS; SMIJS, THREES; VAN ASTEN, ARIAN, NETHERLANDS FORENS INST, PO 24044, NL-2490 AA THE HAGUE, NETHERLANDS; GALLI, FEDERICA, LEIDEN UNIV, LEIDEN INST PHYS, LEIDEN, NETHERLANDS; VAN ASTEN, ARIAN, UNIV AMSTERDAM, VAN T HOFF INST MOL SCI, AMSTERDAM, NETHERLANDS; VAN ASTEN, ARIAN, UNIV AMSTERDAM, AMSTERDAM CTR FORENS SCI \& MED, CLHC, AMSTERDAM, NETHERLANDS"	"THE NETHERLANDS FORENSIC INSTITUTE, THE HAGUE, NETHERLANDS;LEIDEN INSTITUTE OF PHYSICS, LEIDEN UNIVERSITY, LEIDEN, NETHERLANDS;VAN T HOFF INSTITUTE FOR MOLECULAR SCIENCES, UNIVERSITY OF AMSTERDAM, AMSTERDAM, NETHERLANDS;CLHC, AMSTERDAM CENTER FOR FORENSIC SCIENCE AND MEDICINE, UNIVERSITY OF AMSTERDAM, AMSTERDAM, NETHERLANDS"	"Scopus,WebOfScience"	"REVIEW"	"FORENSIC CHEMISTRY"	"FORENSIC;ATOMIC FORCE;CRIME;BLOOD;TEXTILE;FINGERMARK;EXPLOSIVES;FORGERY"
"FORENSIC TEXTILE FIBER EXAMINATION ACROSS THE USA AND EUROPE"	2001	"WIGGINS KG"	"10.1520/jfs15150j"	""	"ARTICLE;  CONTAMINATION;  EUROPE;  FORENSIC SCIENCE;  LABORATORY;  PRIORITY JOURNAL;  QUALITY CONTROL;  TEXTILE;  UNITED STATES"	"WIGGINS, KG (CORRESPONDING AUTHOR), FORENS SCI SERV INC, LONOND LAB, 109 LAMBETH RD, LONDON SE1 7LP, ENGLAND; FORENS SCI SERV INC, LONOND LAB, LONDON SE1 7LP, ENGLAND"	"R AND D FIBRES CONSULTANT, FORENSIC SCIENCE SERVICE, LONDON LABORATORY, 109 LAMBETH ROAD, LONDON SE1 7LP, UNITED KINGDOM"	"Scopus,WebOfScience"	"ARTICLE"	"JOURNAL OF FORENSIC SCIENCES"	"FORENSIC SCIENCE;FIBER;SURVEYS;LABORATORIES;SWGMAT;EFG;EQUIPMENT;METHODOLOGY"
"FURTHER INSIGHTS INTO THE PERSISTENCE OF TRANSFERRED FIBRES ON OUTDOOR CLOTHES"	2002	"AKULOVA V;VASILIAUSKIENE D;TALALIENE D"	"10.1016/S1355-0306(02)71821-2"	""	"ACRYLIC ACID; ARTICLE;  CLOTHING;  FIBER;  FORENSIC SCIENCE;  SEASON;  SURFACE PROPERTY;  TEXTILE;  TIME;  WINTER;  WOOL"	"AKULOVA, V (CORRESPONDING AUTHOR), FORENS SCI CTR LITHUANIA, LT-2600 VILNIUS, LITHUANIA; FORENS SCI CTR LITHUANIA, LT-2600 VILNIUS, LITHUANIA"	"FORENSIC SCIENCE CENTRE OF LITHUANIA, LVOVO, VILNIUS 2600, LITHUANIA"	"Scopus,WebOfScience"	"ARTICLE"	"SCIENCE AND JUSTICE"	"FORENSIC SCIENCE;CRIMINALISTICS;FIBRES;FIBRE TRANSFER;PERSISTENCE;OUTDOOR CLOTHES"
"GUILTY BY HIS FIBERS: SUSPECT CONFESSION VERSUS TEXTILE FIBERS RECONSTRUCTED SIMULATION"	2009	"SUZUKI S;HIGASHIKAWA Y;SUGITA R;SUZUKI Y;SUZUKI S;HIGASHIKAWA Y;SUGITA R"	"10.1016/j.forsciint.2009.03.035"	""	"ARTICLE;  CLOTHING;  CRIMINAL BEHAVIOR;  FORENSIC SCIENCE;  HOMICIDE;  MICROSPECTROPHOTOMETRY;  PRIORITY JOURNAL;  SIMULATION;  TEXTILE FIBER;  THEFT; ANIMALS;  CRIME;  FORENSIC MEDICINE;  HUMANS;  MALE;  SPECTROPHOTOMETRY;  WOOL"	"SUZUKI, S (CORRESPONDING AUTHOR), NATL RES INST POLICE SCI, DEPT FORENS SCI DIV 3, 6-3-1 KASHIWANOHA, KASHIWA, CHIBA 2770882, JAPAN; SUZUKI, SHINICHI; HIGASHIKAWA, YOSHIYASU; SUGITA, RITSUKO; SUZUKI, YASUHIRO, NATL RES INST POLICE SCI, DEPT FORENS SCI DIV 3, KASHIWA, CHIBA 2770882, JAPAN"	"THIRD DEPARTMENT, FORENSIC SCIENCE DIVISION, NATIONAL RESEARCH INSTITUTE OF POLICE SCIENCE, 6-3-1, KASHIWANOHA, KASHIWA, CHIBA, 277-0882, JAPAN"	"Scopus,WebOfScience"	"ARTICLE"	"FORENSIC SCIENCE INTERNATIONAL"	"FORENSIC SCIENCE;SINGLE FIBER;MICROSPECTROPHOTOMETER;RECONSTRUCTION;OF BEHAVIOR;ADHESIVE TAPE;RECONSTRUCTION OF BEHAVIOR"
"HAIR AND FIBER TRANSFER IN AN ABDUCTION CASE - EVIDENCE FROM DIFFERENT LEVELS OF TRACE EVIDENCE TRANSFER"	1996	"TAUPIN JM"	"10.1520/jfs13982j 10.1520/JFS13982J"	""	"ARTICLE;  ASSAULT;  CASE REPORT;  CLOTHING;  FEMALE;  FIBER;  FORENSIC SCIENCE;  HAIR;  HUMAN;  PRIORITY JOURNAL;  RAPE;  TEXTILE"	"TAUPIN, JM (CORRESPONDING AUTHOR), VICTORIA POLICE,VICTORIA FORENS SCI CTR,FORENS DR,MACLEOD,VIC 3085,AUSTRALIA"	"VICTORIA FORENSIC SCIENCE CENTRE, VICTORIA POLICE, MACLEOD, VIC., AUSTRALIA;VICTORIA FORENSIC SCIENCE CENTER, VICTORIA POLICE, FORENSIC DRIVE, MACLEOD, VIC. 3085, AUSTRALIA"	"Scopus,WebOfScience"	"ARTICLE"	"JOURNAL OF FORENSIC SCIENCES"	"FORENSIC SCIENCE;CRIMINAL INVESTIGATION;FIBERS;HAIRS;BRACE EVIDENCE;TRANSFER;ABDUCTION;TRACE EVIDENCE"
"HIGH-PERFORMANCE LIQUID CHROMATOGRAPHY-ULTRAVIOLET-VISIBLE SPECTROSCOPY-ELECTROSPRAY IONIZATION MASS SPECTROMETRY METHOD FOR ACRYLIC AND POLYESTER FORENSIC FIBER DYE ANALYSIS"	2006	"PETRICK LM;WILSON TA;FAWCETT WR"	"10.1111/j.1556-4029.2006.00155.x"	"TEXTILE FIBERS; IDENTIFICATION; SYSTEM; ACID"	"ACETONITRILE;  ACRYLIC ACID;  ANTHRAQUINONE;  AZO DYE;  DYE;  METHINE;  NITRO DERIVATIVE;  ORGANIC SOLVENT;  POLYESTER;  PYRIDINE;  TRIPHENYLMETHANE;  UNCLASSIFIED DRUG;  WATER; ACCURACY;  COLOR;  CONFERENCE PAPER;  ELECTROSPRAY MASS SPECTROMETRY;  FLOW RATE;  HIGH PERFORMANCE LIQUID CHROMATOGRAPHY;  MICROSPECTROPHOTOMETRY;  PRIORITY JOURNAL;  PROCESS OPTIMIZATION;  SOLVENT EXTRACTION;  TEMPERATURE;  TEXTILE FIBER;  THIN LAYER CHROMATOGRAPHY;  ULTRAVIOLET SPECTROSCOPY"	"WILSON, TA (CORRESPONDING AUTHOR), SACRAMENTO CTY DIST ATTORNEYS LAB FORENS SERV, 4800 BROADWAY ST,STE 200, SACRAMENTO, CA 95820 USA; SACRAMENTO CTY DIST ATTORNEYS LAB FORENS SERV, SACRAMENTO, CA 95820 USA; UNIV CALIF DAVIS, DEPT CHEM, DAVIS, CA 95616 USA"	"CHEMISTRY DEPARTMENT, UNIVERSITY OF CALIFORNIA AT DAVIS, ONE SHIELDS AVENUE, DAVIS, CA 95616, UNITED STATES;SACRAMENTO COUNTY DISTRICT ATTORNEY'S LABORATORY OF FORENSIC SERVICES, 4800 BROADWAY STREET, SACRAMENTO, CA 95820, UNITED STATES;SACRAMENTO COUNTY DISTRICT ATTORNEY'S LABORATORY OF FORENSIC SERVICES, 4800 BROADWAY ST., STE 200, SACRAMENTO, CA 95820, UNITED STATES"	"Scopus,WebOfScience"	"CONFERENCE MATERIAL"	"JOURNAL OF FORENSIC SCIENCES"	"FORENSIC SCIENCE;TRACE EVIDENCE;FIBER;TEXTILE DYE;HIGH-PERFORMANCE;LIQUID CHROMATOGRAPHY-MASS SPECTROMETRY;BASIC DYES;DISPERSE DYES;HIGH-PERFORMANCE LIQUID CHROMATOGRAPHY-MASS SPECTROMETRY"
"IDENTIFICATION OF LYOCELL USING DISPERSION STAINING"	2002	"COYLE TJ;ROBSON R;BAUER P"	"10.1016/S1355-0306(02)71802-9"	"FIBERS"	"ARTICLE;  BIREFRINGENCE;  CLOTHING;  FIBER;  FORENSIC IDENTIFICATION;  REFRACTION INDEX"	"COYLE, TJ (CORRESPONDING AUTHOR), FORENS ALLIANCE LTD, MICROANAL DEPT, CULHAM SCI CTR, F5, ABINGDON OX14 3ED, OXON, ENGLAND; FORENS ALLIANCE LTD, MICROANAL DEPT, CULHAM SCI CTR, ABINGDON OX14 3ED, OXON, ENGLAND"	"MICROANALYSIS DEPARTMENT, FORENSIC ALLIANCE LTD., F5 CULHAM SCIENCE CENTRE, ABINGDON, OXFORDSHIRE OX14 3ED, UNITED KINGDOM"	"Scopus,WebOfScience"	"ARTICLE"	"SCIENCE AND JUSTICE"	"FORENSIC SCIENCE;CRIMINALISTICS;FIBRES;LYOCELL;DYES;STAINING"
