"Authors"	"Title"	"Year"	"AKeywords"	"Source.title"	"DOI"	"Document.Type"	"Link"	"Coder"
"ZIBA-PALUS J; WS-GUBA?A J"	"An investigation into the use of micro-Raman spectroscopy for the analysis of car paints and single textile fibres"	2011	"Forensic identification; Paint chips; Raman spectroscopy; Single fibres"	"Journal of Molecular Structure"	"10.1016/j.molstruc.2010.12.041"	"Conference Material"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955469104&doi=10.1016%2fj.molstruc.2010.12.041&partnerID=40&md5=ece0167c7fe8d1c964d46c01e82d8ea4"	2013
"LEPOT L"	"Raman spectroscopy of dye mixtures on cotton fibres"	2011	NA	"Proceedings of 19th ENFSI European Textile & Hair Group, Riga"	NA	"Proceedings papers"	NA	2013
"WEIMER R; CLARY J; HEINTZ R; WALL M"	"Analysis of Bicomponent Fibers Using Confocal Raman Mapping"	2012	NA	"Journal of the American Society of Trace Evidence Examiners"	NA	"Article"	"http://www.unitedstatesbd.com/images/unitedstatesbdcom/bizcategories/2961/files/astee%20journal%20issue%203-1.pdf"	2013
NA	NA	NA	NA	NA	NA	"Webpage"	"http://www.asteetrace.org"	2013
"JOHANSSON S"	"Cross-sectioning methods for fibres"	2011	NA	"Proceedings of 19th ENFSI European Textile & Hair Group, Riga"	NA	"Proceedings papers"	NA	2013
"MARKSTROM LJ; MABBOTT GA"	"Obtaining absorption spectra from single textile fibers using a liquid crystal tunable filter microspectrophotometer"	2011	"Absorption spectra; Fiber; Liquid crystal tunable filter; Microspectrophotometer; Textile dyes"	"Forensic Science International"	"10.1016/j.forsciint.2011.01.014"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79957623776&doi=10.1016%2fj.forsciint.2011.01.014&partnerID=40&md5=207221c408cb7bc1173f5362e9cee3af"	2013
"ZHOU C; LI M; GARCIA R; CRAWFORD A; BECK K; HINKS D; GRIFFIS DP"	"Time-of-flight-secondary ion mass spectrometry method development for high-sensitivity analysis of acid dyes in nylon fibers"	2012	NA	"Analytical Chemistry"	"10.1021/ac3025569"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84869446683&doi=10.1021%2fac3025569&partnerID=40&md5=59504610c6841a7e834ef9abe76e5cba"	2013
"YAN C; YANG B; YU Z"	"Terahertz Time Domain Spectroscopy for the Identification of Two Cellulosic Fibers with Similar Chemical Composition"	2013	"Bamboo; Fibers; Glucose; Numerical simulation; Ramie; Terahertz"	"Analytical Letters"	"10.1080/00032719.2012.747098"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875831698&doi=10.1080%2f00032719.2012.747098&partnerID=40&md5=4290f4c1149a8edb764aa3adc691e4ff"	2013
"DAÉID NN; MEIER-AUGENSTEIN W; KEMP HF"	"Investigating the provenance of un-dyed spun cotton fibre using multi-isotope profiles and chemometric analysis"	2011	NA	"Rapid Communications in Mass Spectrometry"	"10.1002/rcm.5046"	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79958111898&doi=10.1002%2frcm.5046&partnerID=40&md5=a263518c1ab2880faf1aff6587099e72"	2013
"KATO T; HASEGAWA M; KAGAWA M"	"Discrimination of White Cotton Fiber by the Detection of Residual Surfactants in Fibers"	2011	"Powder detergent for the clothes; White cotton fiber; Residual surfactant; LC/MS"	"Japanese Journal of Forensic Science and Technology"	"10.3408/jafst.16.29"	"Article"	"https://www.jstage.jst.go.jp/article/jafst/16/1/16_1_29/_article"	2013
