Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,ID,Document Type,Publication Stage,Access Type,Source,EID,Coder
"Schulman T.G., Samlal-Soedhoe R.S., van der Weerd J.",57201085129;57193266744;6603650278;,Toward a systematic classification of textile damages,2018,Forensic science review,30,1,,51,75,,2,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043368609&partnerID=40&md5=f015a2990497a625296fa78855577b6e,"Microtrace, Netherlands Forensic Institute, The Hague, Section, Netherlands; Microtrace, Netherlands Forensic Institute, The Hague, Section, Netherlands","Schulman, T.G., Microtrace, Netherlands Forensic Institute, The Hague, Section, Netherlands; Samlal-Soedhoe, R.S., Microtrace, Netherlands Forensic Institute, The Hague, Section, Netherlands; van der Weerd, J., Microtrace, Netherlands Forensic Institute, The Hague, Section, Netherlands",Classification; cut; heat; textile damage; validation; wear-and-tear,clothing; forensic science; human; procedures; textile; Clothing; Forensic Sciences; Humans; Textiles,,Review,Final,,Scopus,2-s2.0-85043368609,2019
"De Wael K., Lepot L.",23491995600;15021035100;,"Forensic Science, Applications of Raman Spectroscopy to Fiber Analysis",2017,Encyclopedia of Spectroscopy and Spectrometry,,,,712,719,,2,10.1016/B978-0-12-409547-2.12168-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060161635&doi=10.1016%2fB978-0-12-409547-2.12168-7&partnerID=40&md5=820d123057150833198a22e28eaf4040,"Belgium Forensic Science Institute (NICC-INCC), Brussels, Belgium","De Wael, K., Belgium Forensic Science Institute (NICC-INCC), Brussels, Belgium; Lepot, L., Belgium Forensic Science Institute (NICC-INCC), Brussels, Belgium","Cellulose; Databases; Dyes; Dyes, mixture; Fiber examination; Fiber, man-made; Fiber, natural; Fluorescence; Forensic science; Nylon; Pigments; Polyester; Polyolefin; Raman spectroscopy; Resonance",Cellulose; Database systems; Dyes; Fluorescence; Forensic science; Mixtures; Nondestructive examination; Pigments; Polyesters; Polyolefins; Raman spectroscopy; Resonance; Spectrum analysis; Colored fibers; Control samples; Fiber traces; Multiple lasers; Non-destructive technique; Nylon; Raman spectral database; Single fiber; Fibers,,Book Chapter,Final,,Scopus,2-s2.0-85060161635,2019
Chisnall R.C.,,Analysing knot evidence: Associating innate habits with sophisticated tying tasks,2016,Scandinavian J. For. Sci.,22,2,,21,32,,2,,,,"Chisnall, R.C.",,,,,Final,,Scopus,2-s2.0-85041403276,2019
"Takematsu M.M., Diniz M.F., Da Costa Mattos E., De Cássia Lazzarini Dutra R.",57204333082;7003526411;6508038987;6503928137;,Sheath-core bicomponent fiber characterization by FT-IR and other analytical methodologies,2018,Polimeros,28,4,,339,347,,1,10.1590/0104-1428.09016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055180001&doi=10.1590%2f0104-1428.09016&partnerID=40&md5=be6ea48006dc008857c04d020595bf80,"Instituto Tecnológico de Aeronaútica-ITA, Saõ José dos Campos, SP, Brazil; Instituto de Aeronaútica e Espaço-IAe, Divisaõ de Química-AQI, Saõ José dos Campos, SP, Brazil","Takematsu, M.M., Instituto Tecnológico de Aeronaútica-ITA, Saõ José dos Campos, SP, Brazil; Diniz, M.F., Instituto de Aeronaútica e Espaço-IAe, Divisaõ de Química-AQI, Saõ José dos Campos, SP, Brazil; Da Costa Mattos, E., Instituto Tecnológico de Aeronaútica-ITA, Saõ José dos Campos, SP, Brazil, Instituto de Aeronaútica e Espaço-IAe, Divisaõ de Química-AQI, Saõ José dos Campos, SP, Brazil; De Cássia Lazzarini Dutra, R., Instituto Tecnológico de Aeronaútica-ITA, Saõ José dos Campos, SP, Brazil",Bicomponent fiber; Characterization; FT-IR; Polyethylene; Polypropylene,Characterization; Colorimetric analysis; Differential scanning calorimetry; Energy dispersive spectroscopy; Fibers; Fourier transform infrared spectroscopy; Polyethylenes; Polypropylenes; Process monitoring; Quality control; Scanning electron microscopy; Titanium dioxide; Analytical methodology; Bi-component fibers; Dsc(differential scanning calorimetry); Elemental compositions; Energy dispersive X ray spectroscopy; Forensic investigation; Fourier transform infra red (FTIR) spectroscopy; Titanium dioxides (TiO2); Thermogravimetric analysis,,Article,Final,Open Access,Scopus,2-s2.0-85055180001,2019
Van Houte F.,,Information on man-made fibres,2018,,,,,,,,1,,,,"Van Houte, F.",,,,,Final,,Scopus,2-s2.0-85081266781,2019
Friedman J.,,Current FBI approved standards for testimony and reporting for hairs and fibres,2018,"Proceedings of the 26th European Textile & Hair Group (ETHG – ENFSI Working Group) Meeting, Zurich",,,,,,,1,,,,"Friedman, J.",,,,,Final,,Scopus,2-s2.0-85081261515,2019
Williams G.A.,,Forensic textile damage analysis: recent advances,2018,Res. Rep. Forensic Med. Sci.,8,,,1,8,,1,,,,"Williams, G.A.",,,,,Final,,Scopus,2-s2.0-85081240148,2019
"Groves E., Palenik S., Palenik C.S.",56915536700;6505782584;7005080203;,A generalized approach to forensic dye identification: Development and utility of reference libraries,2018,Journal of AOAC International,101,5,,1385,1396,,1,10.5740/jaoacint.18-0052,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058365582&doi=10.5740%2fjaoacint.18-0052&partnerID=40&md5=307fae86976745bd9646db6561fea6a1,"Microtrace LLC, 790 Fletcher Dr., Suite 106, Elgin, IL  60123, United States","Groves, E., Microtrace LLC, 790 Fletcher Dr., Suite 106, Elgin, IL  60123, United States; Palenik, S., Microtrace LLC, 790 Fletcher Dr., Suite 106, Elgin, IL  60123, United States; Palenik, C.S., Microtrace LLC, 790 Fletcher Dr., Suite 106, Elgin, IL  60123, United States",,"Fibers; Forensic science; Libraries; Microoptics; Optical properties; Textile finishing; Textiles; Ultraviolet visible spectroscopy; Analytical problems; Dye identification; Infrared micro-spectroscopy; Microspectrophotometry; Raman microspectroscopy; Reference collections; Robust analytical methods; UV-vis spectroscopy; Dyes; coloring agent; analysis; forensic science; human; infrared spectrophotometry; microspectrophotometry; procedures; Raman spectrometry; spectrophotometry; standard; standards; textile; ultraviolet spectrophotometry; Coloring Agents; Forensic Sciences; Humans; Microspectrophotometry; Reference Standards; Spectrophotometry; Spectrophotometry, Infrared; Spectrophotometry, Ultraviolet; Spectrum Analysis, Raman; Textiles",,Article,Final,,Scopus,2-s2.0-85058365582,2019
"Wetzer E., Lohninger H.",57201995123;6602216612;,Image Processing using Color Space Models for Forensic Fiber Detection,2018,IFAC-PapersOnLine,51,2,,445,450,,1,10.1016/j.ifacol.2018.03.076,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046622878&doi=10.1016%2fj.ifacol.2018.03.076&partnerID=40&md5=6baa170d1256c18422f322183204520b,"Vienna University of Technology, Uppsala University, Austria; Vienna University of Technology, Vienna, Austria","Wetzer, E., Vienna University of Technology, Uppsala University, Austria; Lohninger, H., Vienna University of Technology, Vienna, Austria",Data Reduction; Image analysis; Image processing; Image segmentation; Object recognition,Color; Color matching; Data reduction; Digital forensics; Fibers; Image analysis; Image enhancement; Image processing; Image segmentation; Mathematical transformations; Object recognition; Optical data processing; Color channels; Gray-scale images; Large amounts of data; Morphological operator; Nonlinear transforms; Optical microscopes; Science applications; Spectroscopic measurements; Color image processing,,Article,Final,Open Access,Scopus,2-s2.0-85046622878,2019
Chisnall R.C.,23024050500;,Categorizing innate tying behavior and knot sophistication using fundamental principles,2017,Journal of Forensic Identification,67,3,,447,472,,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041385758&partnerID=40&md5=7e3a4b56fbe371497272de3dfde4eff0,"Independent Consultant, 60 Dauphin Avenue, Kingston, ON  K7K 6B1, Canada","Chisnall, R.C., Independent Consultant, 60 Dauphin Avenue, Kingston, ON  K7K 6B1, Canada",,chirality; classification; habit; handedness; human; review,,Review,Final,,Scopus,2-s2.0-85041385758,2019
"Grunwald J.E., Gannicliffe C.",,The situation in Germany and UK,2017,"Proceedings of the 25th European Textile & Hair Group (ETHG – ENFSI Working Group) Meeting, Leiden",,,,,,,1,,,,"Grunwald, J.E.; Gannicliffe, C.",,,,,Final,,Scopus,2-s2.0-85081267324,2019
European Textile & Hair Group,,Workshop on Interpretation,2017,"25th European Textile & Hair Group (ETHG – ENFSI Working Group) Meeting, Leiden",,,,,,,1,,,,European Textile & Hair Group,,,,,Final,,Scopus,2-s2.0-85081241018,2019
"Kato T., Suzuki Y., Handa M.",57145457600;57206758390;55722758400;,Analysis and discrimination of disperse dyes extracted from black polyester fibers,2017,Bunseki Kagaku,66,1,,39,48,,1,10.2116/bunsekikagaku.66.39,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012008518&doi=10.2116%2fbunsekikagaku.66.39&partnerID=40&md5=743659f437a10c2af9fb5abd1ba3a2b2,"Criminal Investigation Laboratory, Shimane Prefectural Police H.Q., 1751-15, Heisei-cho, Matsue-shi, Shimane  690-0038, Japan; Department of Chemistry, Interdisciplinary Graduate School of Science and Engineering, Shimane University, 1060, Nishikawatsu-cho, Matsue-shi, Shimane  690-8504, Japan; National Research Institute of Police Science, 6-3-1, Kashiwanoha, Kashiwa-shi, Chiba  277-0882, Japan","Kato, T., Criminal Investigation Laboratory, Shimane Prefectural Police H.Q., 1751-15, Heisei-cho, Matsue-shi, Shimane  690-0038, Japan, Department of Chemistry, Interdisciplinary Graduate School of Science and Engineering, Shimane University, 1060, Nishikawatsu-cho, Matsue-shi, Shimane  690-8504, Japan; Suzuki, Y., National Research Institute of Police Science, 6-3-1, Kashiwanoha, Kashiwa-shi, Chiba  277-0882, Japan; Handa, M., Department of Chemistry, Interdisciplinary Graduate School of Science and Engineering, Shimane University, 1060, Nishikawatsu-cho, Matsue-shi, Shimane  690-8504, Japan",Black polyester gloves; Disperse dye; Liquid chromatography/linear ion trap mass spectrometry,,,Article,Final,Open Access,Scopus,2-s2.0-85012008518,2019
"Lepot L., De Wael K., Lunstroot K.",,"Fibres and textiles, 2013-2016",2016,Proceedings of the 18th Interpol International Forensic Science Managers Symposium,,,,143,162,,1,,,,"Lepot, L.; De Wael, K.; Lunstroot, K.",,,,,Final,,Scopus,2-s2.0-85081261924,2019
Burnip M.R.,,Forensic Characterization of Dyes from Synthetic Textile Fibers Exposed to Outdoor and Laundering Effects by Ultra Performance Liquid Chromatography and Spectral Analysis,2016,,,,,,,,1,,,,"Burnip, M.R.",,,,,Final,,Scopus,2-s2.0-85081215812,2019
