"TI"	"PY"	"AU"	"AIKW"	"IDW"	"AIKS"	"IDS"	"C1W"	"C1S"	"DOI"	"SO"	"DT"	"AIK"
"10 YEARS OF 1:1 TAPING IN BELGIUM - A SELECTION OF MURDER CASES INVOLVING FIBRE EXAMINATION"	2016	"DE WAEL K;LEPOT L;LUNSTROOT K;GASON F"	"1:1 TAPING; TAPE LIFTING; ZONAL TAPING; MICROTRACE RECOVERY; FIBRE; EXAMINATION"	""	"1:1 TAPING;  FIBRE EXAMINATION;  MICROTRACE RECOVERY;  TAPE LIFTING;  ZONAL TAPING"	"BELGIUM;CRIME VICTIM;EXAMINATION;FIBER;FORENSIC IDENTIFICATION;HOMICIDE;HUMAN;OUTCOME VARIABLE;REVIEW;SELECTION BIAS;TAPE LIFTING TECHNIQUE;CLOTHING;FORENSIC MEDICINE;PROCEDURES;CRIME VICTIMS;HUMANS"	"DE WAEL, K (REPRINT AUTHOR), NATL INST CRIMINALISTIEK \& CRIMINOL, FIBRES \& TEXT LAB, VILVOORDSESTEENWEG 100, B-1120 BRUSSELS, BELGIUM; DE WAEL, K; LEPOT, L; LUNSTROOT, K; GASON, F, NATL INST CRIMINALIST \& CRIMINOL, BRUSSELS, BELGIUM"	"NATIONAL INSTITUTE FOR CRIMINALISTICS AND CRIMINOLOGY,BRUSSELS,BELGIUM"	"10.1016/j.scijus.2015.07.002"	"SCIENCE AND JUSTICE"	"REVIEW ARTICLE"	"1:1 TAPING;TAPE LIFTING;ZONAL TAPING;MICROTRACE RECOVERY;FIBRE;EXAMINATION;FIBRE EXAMINATION"
"A COMPARISON OF EFFICIENCY OF MANUAL AND AUTOMATIC FIBRES SEARCH WITH THE MAXCAN FIBRE FINDER"	2006	"SERMIER FM;MASSONNET G;BUZZINI P;FORTINI A;GASON F;DE WAEL K;ROVAS P"	""	""	"AUTOMATIC SEARCH;  FIBRE FINDER;  FIBRES;  FIBRES RECOVERY"	"ARTICLE;FIBER;FORENSIC IDENTIFICATION;FORENSIC MEDICINE;INTERMETHOD COMPARISON;LABORATORY APPARATUS;EQUIPMENT AND SUPPLIES;LABORATORY AUTOMATION;LABORATORY TEST;PARAMETER;PRIORITY JOURNAL"	NA	"ECOLE DE SCIENCES CRIMINELLES,INSTITUT DE POLICE SCIENTIFIQUE,UNIVERSITY OF LAUSANNE,CH-1015 DORIGNY,SWITZERLAND; INSTITUT NATIONAL DE CRIMINALISTIQUE ET DE CRIMINOLOGIE,MINISTRE DE LA JUSTICE,CHAUSSE DE VILVORDE 98-100,B-1120 BRUXELLES,BELGIUM; KESKUSRIKOSPOLIISI,NATIONAL BUREAU OF INVESTIGATION,JOKINIEMENKUJA 4,FIN-01301 VANTAA,FINLAND"	"10.1016/j.forsciint.2005.08.015"	"FORENSIC SCIENCE INTERNATIONAL"	"ARTICLE"	";AUTOMATIC SEARCH;FIBRE FINDER;FIBRES;FIBRES RECOVERY"
"A COMPARISON OF PENETRATION AND DAMAGE CAUSED BY DIFFERENT TYPES OF ARROWHEADS ON LOOSE AND TIGHT FIT CLOTHING"	2018	"MACPHEE N;SAVAGE A;NOTON N;BEATTIE E;MILNE L;FRASER J"	"ARROW; PENETRATION; DAMAGE; CLOTHING; TISSUES; BONES"	"WOUNDS; BOW"	"ARROW;  BONES;  CLOTHING;  DAMAGE;  PENETRATION;  TISSUES"	"GELATIN;ARROW;ARTICLE;BALLISTICS;BLUNT TRAUMA;BONE MATRIX;COMPARATIVE STUDY;FEMUR;PENETRATING TRAUMA;RIB;SOFT TISSUE;SOFT TISSUE INJURY;SPINE;SURFACE AREA;WEAPON;X RAY;X-RAY COMPUTED TOMOGRAPHY;BIOLOGICAL MODEL;BONE;CLOTHING;DIAGNOSTIC IMAGING;EQUIPMENT DESIGN;FORENSIC MEDICINE;HUMAN;INJURIES;MICRO-COMPUTED TOMOGRAPHY;PATHOLOGY;THREE DIMENSIONAL IMAGING;BONE AND BONES;HUMANS;IMAGING;THREE-DIMENSIONAL;MODELS;BIOLOGICAL;WEAPONS;WOUNDS;PENETRATING;X-RAY MICROTOMOGRAPHY"	"FRASER, J (REPRINT AUTHOR), ABERTAY UNIV, 40 BELL STR, DUNDEE DD1 1HG, SCOTLAND; MACPHEE, NICHOLE; SAVAGE, ANNE; NOTON, NIKOLAS; BEATTIE, EILIDH; MILNE, LOUISE; FRASER, JOANNA, ABERTAY UNIV, 40 BELL STR, DUNDEE DD1 1HG, SCOTLAND"	"ABERTAY UNIVERSITY,40 BELL STREET,DUNDEE,DD1 1HG,UNITED KINGDOM"	"10.1016/j.scijus.2017.11.005"	"SCIENCE AND JUSTICE"	"ARTICLE"	"ARROW;PENETRATION;DAMAGE;CLOTHING;TISSUES;BONES"
"A COMPUTERIZED DATA BASE OF MAIL ORDER GARMENTS - A CONTRIBUTION TOWARD ESTIMATING THE FREQUENCY OF FIBRE TYPES FOUND IN CLOTHING PART 3: THE CONTENT OF THE DATA BANK - IS IT REPRESENTATIVE?"	1998	"BIERMANN TW;GRIEVE MC"	"TEXTILES; CLOTHING; FIBRE COMPOSITION; FREQUENCY; DATA BANK; REPRESENTATIVITY"	""	"CLOTHING;  DATA BANK;  FIBRE COMPOSITION;  FREQUENCY;  REPRESENTATIVITY;  TEXTILES"	"ARTICLE;DATA BASE;PRIORITY JOURNAL;TEXTILE"	"BIERMANN, TW (REPRINT AUTHOR), BUNDESKRIMINALAMT, KT 33 TEXTILKUNDE, THAERSTR 11, D-65193 WIESBADEN, GERMANY; BUNDESKRIMINALAMT, KT 33 TEXTILKUNDE, D-65193 WIESBADEN, GERMANY"	"KT 33 TEXTILKUNDE,BUNDESKRIMINALAMT,THAERSTRASSE 11,65193 WIESBADEN,GERMANY"	"10.1016/S0379-0738(98)00090-5"	"FORENSIC SCIENCE INTERNATIONAL"	"ARTICLE"	"TEXTILES;CLOTHING;FIBRE COMPOSITION;FREQUENCY;DATA BANK;REPRESENTATIVITY"
"A COMPUTERIZED DATA BASE OF MAIL ORDER GARMENTS: A CONTRIBUTION TOWARD ESTIMATING THE FREQUENCY OF FIBRE TYPES FOUND IN CLOTHING. PART 1: THE SYSTEM AND ITS OPERATION"	1996	"BIERMANN TW;GRIEVE MC"	""	""	"DATA BANK;  FIBRE COMPOSITION;  FIBRE FREQUENCY;  TEXTILES"	"ARTICLE;CLOTHING;COMPUTER PROGRAM;DATA BASE;FORENSIC SCIENCE;GERMANY;INFORMATION PROCESSING;PRIORITY JOURNAL;TEXTILE"	NA	"KT 33 TEXTILKUNDE,BUNDESKRIMINALAMT,THAERSTRASSE 11,65193 WIESBADEN,GERMANY"	"10.1016/0379-0738(95)01856-5"	"FORENSIC SCIENCE INTERNATIONAL"	"ARTICLE"	";DATA BANK;FIBRE COMPOSITION;FIBRE FREQUENCY;TEXTILES"
"A FLOWCHART SYSTEM FOR THE IDENTIFICATION OF COMMON SYNTHETIC FIBERS BY POLARIZED LIGHT MICROSCOPY"	1996	"STOEFFLER SF"	"FORENSIC SCIENCE; CRIMINALISTICS; FIBERS; FIBER IDENTIFICATION; POLARIZED LIGHT MICROSCOPY"	""	"CRIMINALISTICS;  FIBER IDENTIFICATION;  FIBERS;  FORENSIC SCIENCE;  POLARIZED LIGHT MICROSCOPY"	"ARTICLE;CLASSIFICATION;DIAGNOSTIC VALUE;FIBER;FORENSIC IDENTIFICATION;MICROSCOPY;POLARIMETRY;PRACTICE GUIDELINE;PRIORITY JOURNAL"	"STOEFFLER, SF (REPRINT AUTHOR), MICHIGAN STATE POLICE FORENS LAB,42145 W 7 MILE RD,NORTHVILLE,MI 48167, USA"	"LABORATORY SCIENTIST,MICHIGAN STATE POLICE FORENSIC LAB.,NORTHVILLE,MI,UNITED STATES; MICHIGAN STATE POLICE FORENSIC LAB.,42145 WEST SEVEN MILE ROAD,MI 48167,UNITED STATES"	"10.1520/JFS15430J 10.1520/jfs15430j"	"JOURNAL OF FORENSIC SCIENCES"	"ARTICLE"	"FORENSIC SCIENCE;CRIMINALISTICS;FIBERS;FIBER IDENTIFICATION;POLARIZED LIGHT MICROSCOPY"
"A FURTHER LOOK AT RAMAN SPECTROSCOPY FOR THE FORENSIC EXAMINATION OF FIBRES"	2003	"THOMAS J;BUZZINI P;ROUX CP;REEDY BJ"	"FIBER; RAMAN; COTTON"	""	""	""	"UNIV TECHNOL SYDNEY, CTR FORENS SCI, BROADWAY, NSW 2007, AUSTRALIA; UNIV LAUSANNE, INST POLICE SCI \& CRIMINOL, CH-1015 LAUSANNE, SWITZERLAND"	NA	""	"FORENSIC SCIENCE INTERNATIONAL"	"MEETING ABSTRACT"	"FIBER;RAMAN;COTTON"
"A FURTHER STUDY OF DYE BATCH VARIATION IN TEXTILE AND CARPET FIBRES"	2005	"WIGGINS KG;HOLNESS JA"	"FORENSIC SCIENCE; DYE BATCH VARIATION; FIBRE; COMPARISON MICROSCOPY; VISIBLE LIGHT MICROSPECTROPHOTOMETRY; UV MICROSPECTROPHOTOMETRY; THIN; LAYER CHROMATOGRAPHY"	""	"COMPARISON MICROSCOPY;  DYE BATCH VARIATION;  FIBRE;  FORENSIC SCIENCE;  THIN LAYER CHROMATOGRAPHY;  UV MICROSPECTROPHOTOMETRY;  VISIBLE LIGHT MICROSPECTROPHOTOMETRY"	"ACRYLIC ACID;DYE;NYLON;ARTICLE;CARPET FIBER;DYE BATCH VARIATION;FIBER;FLUORESCENCE;MICROSCOPY;MICROSPECTROPHOTOMETRY;QUALITY CONTROL;TEXTILE FIBER;THIN LAYER CHROMATOGRAPHY;ULTRAVIOLET SPECTROPHOTOMETRY"	"WIGGINS, K (REPRINT AUTHOR), LONDON LAB, FORENS SCI SERV, 109 LAMBERTH RD, LONDON SE1 7LP, ENGLAND; LONDON LAB, FORENS SCI SERV, LONDON SE1 7LP, ENGLAND"	"FORENSIC SCIENCE SERVICE,LONDON LABORATORY,109 LAMBETH ROAD,LONDON SE1 7LP,UNITED KINGDOM"	"10.1016/S1355-0306(05)71634-8"	"SCIENCE AND JUSTICE - JOURNAL OF THE FORENSIC SCIENCE SOCIETY"	"ARTICLE"	"FORENSIC SCIENCE;DYE BATCH VARIATION;FIBRE;COMPARISON MICROSCOPY;VISIBLE LIGHT MICROSPECTROPHOTOMETRY;UV MICROSPECTROPHOTOMETRY;THIN;LAYER CHROMATOGRAPHY;THIN LAYER CHROMATOGRAPHY"
"A METHOD OF ASSESSING THE FIBRE SHEDDING POTENTIAL OF FABRICS"	1992	"COXON A;GRIEVE MC;DUNLOP J"	""	""	"FIBRE TRANSFER AND RETENTION;  SHEDDING POTENTIAL"	"ACRYLIC ACID DERIVATIVE;ADHESIVE AGENT;NYLON;ARTICLE;CLOTHING;COTTON;FIBER;LIFE;MATERIALS;METHODOLOGY;SIMULATION;WOOL"	NA	"USACIL-EUROPE,BETTS AREA 272,FRIEDBERGER LANDSTRASSE,FRANKFURT/MAIN,GERMANY"	"10.1016/S0015-7368(92)73064-3"	"JOURNAL OF THE FORENSIC SCIENCE SOCIETY"	"NOTE"	";FIBRE TRANSFER AND RETENTION;SHEDDING POTENTIAL"
"A MORE EFFICIENT METHOD FOR SYNTHETIC TEXTILE FIBER ANALYSIS USING POLARIZED LIGHT MICROSCOPY"	2020	"REFFNER JA;KAMMRATH BW;KAPLAN S"	"FORENSIC SCIENCE; FIBER IDENTIFICATION; MICROSCOPY; POLARIZED LIGHT; MICROSCOPY; REFRACTIVE INDEX; EFFICIENCY"	""	"EFFICIENCY;  FIBER IDENTIFICATION;  FORENSIC SCIENCE;  MICROSCOPY;  POLARIZED LIGHT MICROSCOPY;  REFRACTIVE INDEX"	"NA"	"REFFNER, JA (REPRINT AUTHOR), CUNY JOHN JAY COLL CRIMINAL JUSTICE, 524 WEST 59TH ST, NEW YORK, NY 10019 USA; REFFNER, JOHN A; KAPLAN, SAMUEL, CUNY JOHN JAY COLL CRIMINAL JUSTICE, 524 WEST 59TH ST, NEW YORK, NY 10019 USA; KAMMRATH, BROOKE W, UNIV NEW HAVEN, 300 BOSTON POST RD, WEST HAVEN, CT 06516 USA"	"JOHN JAY COLLEGE OF CRIMINAL JUSTICE,CITY UNIVERSITY OF NEW YORK,524 WEST 59TH STREET,NEW YORK,NY  10019,UNITED STATES; UNIVERSITY OF NEW HAVEN,300 BOSTON POST RD,WEST HAVEN,CT  06516,UNITED STATES"	"10.1111/1556-4029.14252"	"JOURNAL OF FORENSIC SCIENCES"	"ARTICLE"	"FORENSIC SCIENCE;FIBER IDENTIFICATION;MICROSCOPY;POLARIZED LIGHT;REFRACTIVE INDEX;EFFICIENCY;POLARIZED LIGHT MICROSCOPY"
"A NEW METHOD FOR FIBER COMPARISON USING POLARIZED INFRARED MICROSPECTROSCOPY"	1999	"CHO LL;REFFNER JA;GATEWOOD BM;WETZEL DL;CHO L"	"FORENSIC SCIENCE CRIMINALISTICS; FIBER; POLYESTER; INFRARED MICROSCOPY; POLARIZED INFRARED SPECTROSCOPY; DICHROISM; FOURIER TRANSFORM INFRARED; MICROSPECTROSCOPY; TEXTILE; SINGLE-FIBER ANALYSIS"	"ORIENTATION"	"DICHROISM;  FIBER;  FORENSIC SCIENCE CRIMINALISTICS;  FOURIER TRANSFORM INFRARED MICROSPECTROSCOPY;  INFRARED MICROSCOPY;  POLARIZED INFRARED SPECTROSCOPY;  POLYESTER;  SINGLE-FIBER ANALYSIS;  TEXTILE"	"POLYESTER;ACCURACY;ARTICLE;CHEMICAL STRUCTURE;INFRARED SPECTROSCOPY;INTERMETHOD COMPARISON;MATERIALS TESTING;PRIORITY JOURNAL;RADIATION ABSORPTION;SPECTRAL SENSITIVITY;TEXTILE"	"WETZEL, DL (REPRINT AUTHOR), KANSAS STATE UNIV, MICROBEAM MOL SPECT LAB, SHELLENBERGER HALL, MANHATTAN, KS 66506 USA; KANSAS STATE UNIV, MICROBEAM MOL SPECT LAB, MANHATTAN, KS 66506 USA; SPECTRA TECH INC, SHELTON, CT 06484 USA; KANSAS STATE UNIV, CLOTHING TEXT \& INTERIOR DESIGN DEPT, MANHATTAN, KS 66506 USA"	"KANSAS STATE UNIVERSITY,MICROBEAM MOLEC. SPECTROSC. LAB.,SHELLENBERGER HALL,MANHATTAN,KS 66506,UNITED STATES; SPECTRA-TECH INC.,2 RESEARCH DRIVE,SHELTON,CT 06484,UNITED STATES; KANSAS STATE UNIVERSITY,CLOTHING,TEXTILES INTERIOR DES. D.,JUSTIN HALL,UNITED STATES"	""	"JOURNAL OF FORENSIC SCIENCES"	"ARTICLE"	"FORENSIC SCIENCE CRIMINALISTICS;FIBER;POLYESTER;INFRARED MICROSCOPY;POLARIZED INFRARED SPECTROSCOPY;DICHROISM;FOURIER TRANSFORM INFRARED;MICROSPECTROSCOPY;TEXTILE;SINGLE-FIBER ANALYSIS;FOURIER TRANSFORM INFRARED MICROSPECTROSCOPY"
"A NEW METHOD FOR THE REMOVAL AND ANALYSIS OF SMALL PARTICLES ADHERING TO CARPET FIBER SURFACES"	2013	"BOWEN AM;STONEY DA"	"FORENSIC SCIENCES; TRACE EVIDENCE; FIBERS; DUST; SCANNING ELECTRON; MICROSCOPY; PARTICLE COMBINATION ANALYSIS"	""	"DUST;  FIBERS;  FORENSIC SCIENCES;  PARTICLE COMBINATION ANALYSIS;  SCANNING ELECTRON MICROSCOPY;  TRACE EVIDENCE"	"NA"	"BOWEN, A (REPRINT AUTHOR), US POSTAL INSPECT SERV, NATL FORENS LAB, 22433 RANDOLPH DR, DULLES, VA 20104 USA; BOWEN, ANDREW; STONEY, DAVID, STONEY FORENS INC, CHANTILLY, VA 20151 USA"	"STONEY FORENSIC,INC.,14101 WILLARD ROAD,SUITE G,CHANTILLY,VA,UNITED STATES; U.S. POSTAL INSPECTION SERVICE,NATIONAL FORENSIC LABORATORY,22433 RANDOLPH DRIVE,DULLES,UNITED STATES"	"10.1111/1556-4029.12071"	"JOURNAL OF FORENSIC SCIENCES"	"ARTICLE"	"FORENSIC SCIENCES;TRACE EVIDENCE;FIBERS;DUST;SCANNING ELECTRON;MICROSCOPY;PARTICLE COMBINATION ANALYSIS;SCANNING ELECTRON MICROSCOPY"
"A NEW MOUNTING MEDIUM FOR THE FORENSIC MICROSCOPY OF TEXTILE FIBERS"	1995	"GRIEVE MC;DECK S"	"FIBERS; FORENSIC MICROSCOPY; MOUNTANTS"	""	"FIBRES;  FORENSIC MICROSCOPY;  MOUNTANTS"	"GLYCEROL;WATER;XYLENE;ARTICLE;FLUORESCENCE;LABORATORY TEST;MICROSCOPY;SOLUBILITY;TECHNIQUE;TEXTILE;ULTRAVIOLET IRRADIATION"	"GRIEVE, M (REPRINT AUTHOR), BUNDESKRIMINALAMT,POSTFACH 1820,D-65193 WIESBADEN,GERMANY"	"BUNDESKRIMINALAMT KT33,POSTFACH 1820,65193 WIESBADEN,GERMANY"	"10.1016/S1355-0306(95)72642-9"	"SCIENCE AND JUSTICE"	"ARTICLE"	"FIBERS;FORENSIC MICROSCOPY;MOUNTANTS;FIBRES"
"A PILOT STUDY TO DETERMINE THE BACKGROUND POPULATION OF FOREIGN FIBRE GROUPS ON A COTTON/POLYESTER T-SHIRT"	2006	"MARNANE RN;ELLIOT DA;COULSON SA"	"FIBRES; FIBRES EVIDENCE; BACKGROUND POPULATION; T-SHIRTS; SIZE OF GROUPS"	"TEXTILE FIBERS; CAR SEATS"	"BACKGROUND POPULATION;  FIBRES;  FIBRES EVIDENCE;  SIZE OF GROUPS;  T-SHIRTS"	"POLYESTER;ARTICLE;BAYES THEOREM;CLOTHING;COTTON;FORENSIC IDENTIFICATION;PILOT STUDY;PROBABILITY;SYNTHETIC FIBER"	"COULSON, SA (REPRINT AUTHOR), UNIV AUCKLAND, PRIVATE BAG 92019, AUCKLAND 1, NEW ZEALAND; UNIV AUCKLAND, AUCKLAND 1, NEW ZEALAND; ESR, AUCKLAND, NEW ZEALAND"	"UNIVERSITY OF AUCKLAND,PRIVATE BAG 92019,AUCKLAND,NEW ZEALAND; ESR,PRIVATE BAG 92021,NEW ZEALAND"	"10.1016/S1355-0306(06)71601-X"	"SCIENCE AND JUSTICE - JOURNAL OF THE FORENSIC SCIENCE SOCIETY"	"ARTICLE"	"FIBRES;FIBRES EVIDENCE;BACKGROUND POPULATION;T-SHIRTS;SIZE OF GROUPS"
"A PRACTICAL ASPECT OF THE BAYESIAN INTERPRETATION OF FIBRE EVIDENCE"	1992	"GRIEVE MC;DUNLOP J"	""	""	"BAYESIAN INTERPRETATION;  FIBRE FREQUENCY;  FIBRES"	"ACCURACY;ANALYTIC METHOD;ASSAY;BAYES THEOREM;CLOTHING;CONFERENCE PAPER;FIBER;RECIPIENT"	NA	"USACIL-EUROPE,BETTS AREA 272,FRIEDBERGER LANDSTRASSE,6,FRANKFURT,GERMANY"	"10.1016/S0015-7368(92)73066-7"	"JOURNAL OF THE FORENSIC SCIENCE SOCIETY"	"NOTE"	";BAYESIAN INTERPRETATION;FIBRE FREQUENCY;FIBRES"
"A PRELIMINARY INVESTIGATION OF TEXTILE FIBERS IN SMOTHERING SCENARIOS AND ALTERNATIVE LEGITIMATE ACTIVITIES"	2017	"SCHNEGG M;TURCHANY M;DEVITERNE M;HESS S;MASSONNET G;GUEISSAZ L"	"1:1 TAPING; FIBER DISTRIBUTION; FIBER TRANSFER; FORENSIC INTERPRETATION; TRACE EVIDENCE"	"SIMULATED CONTACTS; CLOTHING MATERIALS; PERSISTENCE; WEAR; SEATS"	"1:1 TAPING;  FIBER DISTRIBUTION;  FIBER TRANSFER;  FORENSIC INTERPRETATION;  TRACE EVIDENCE"	"ADULT;ARTICLE;CONTROLLED STUDY;CRIMINAL BEHAVIOR;FACE;FEMALE;FRICTION;GENERAL DEVICE;HOMICIDE;HUMAN;HUMAN EXPERIMENT;MALE;NIGHT SLEEP;PILLOW;PRIORITY JOURNAL;SIMULATION;SMOTHERING;SUFFOCATION;TEXTILE FIBER;VICTIM;YOUNG ADULT"	"SCHNEGG, M (REPRINT AUTHOR), UNIL BATOCHIM, ECOLE SCI CRIMINELLES, CH-1015 LAUSANNE, SWITZERLAND; SCHNEGG, MICHAEL; TURCHANY, MORGANE; DEVITERNE, MARIE; GUEISSAZ, LINE; MASSONNET, GENEVIEVE, UNIV LAUSANNE, SCH CRIMINAL JUSTICE, BATOCHIM, CH-1015 LAUSANNE, SWITZERLAND; HESS, SABINE, FORENS INST ZURICH, ZEUGHAUSSTR 11, CH-8004 ZURICH, SWITZERLAND"	"UNIVERSITY OF LAUSANNE,SCHOOL OF CRIMINAL JUSTICE,BATOCHIME  DORIGNY,LAUSANNE,CH-1015,SWITZERLAND; FORENSISCHES INSTITUT ZRICH,ZEUGHAUSSTRASSE 11,ZRICH,CH-8004,SWITZERLAND"	"10.1016/j.forsciint.2017.08.020"	"FORENSIC SCIENCE INTERNATIONAL"	"ARTICLE"	"1:1 TAPING;FIBER DISTRIBUTION;FIBER TRANSFER;FORENSIC INTERPRETATION;TRACE EVIDENCE"
"A QUANTITATIVE DIFFERENTIATION METHOD FOR ACRYLIC FIBERS BY INFRARED SPECTROSCOPY"	2005	"CAUSIN V;MAREGA C;SCHIAVONE S;MARIGO A"	"FORENSIC SCIENCE; FIBERS; COPOLYMERS; ACRYLICS; POLYACRYLONITRILE; INFRARED SPECTROSCOPY; X-RAY DIFFRACTION; CRYSTALLINITY"	"FORENSIC ANALYSIS; COPOLYMER FIBERS; CRIME SCENE; MICROSCOPY;; POLYACRYLONITRILE; BEHAVIOR; SCIENCE; SYSTEM"	"ACRYLICS;  COPOLYMERS;  CRYSTALLINITY;  FIBERS;  FORENSIC SCIENCE;  INFRARED SPECTROSCOPY;  POLYACRYLONITRILE;  X-RAY DIFFRACTION"	"ACRYLIC ACID;CARBON;CARBONYL DERIVATIVE;HYDROGEN;MONOMER;NITRILE;POLYMER;ARTICLE;CHEMICAL BOND;INFRARED SPECTROSCOPY;MEASUREMENT;PRIORITY JOURNAL;QUANTITATIVE ANALYSIS;TEXTILE FIBER"	"CAUSIN, V (REPRINT AUTHOR), UNIV PADUA, DIPARTIMENTO SCI CHIM, VIA MARZOLO 1, I-35131 PADUA, ITALY; UNIV PADUA, DIPARTIMENTO SCI CHIM, I-35131 PADUA, ITALY; SEZ CHIM ESPLOSIVI \& INFIAMMABILI, REPARTO CARABINIERI INVEST SCI, I-00191 ROME, ITALY"	"DIPARTIMENTO DI SCIENZE CHIMICHE DELL'UNIVERSIT,VIA MARZOLO 1,35131 PADOVA,ITALY; SEZIONE DI CHIMICA,ESPLOSIVI ED INFIAMMABILI,REPARTO CARABINIERI INVESTIGAZIONI SCIENTIFICHE,VIALE TOR DI QUINTO 151,00191 ROMA,ITALY"	"10.1016/j.forsciint.2005.02.004"	"FORENSIC SCIENCE INTERNATIONAL"	"ARTICLE"	"FORENSIC SCIENCE;FIBERS;COPOLYMERS;ACRYLICS;POLYACRYLONITRILE;INFRARED SPECTROSCOPY;X-RAY DIFFRACTION;CRYSTALLINITY"
"A REAL-TIME COLOR IMAGE PROCESSING SYSTEM FOR FORENSIC FIBER INVESTIGATIONS"	1999	"PAULSSON N;STOCKLASSA B"	"FORENSIC SCIENCE; FIBER; IMAGE PROCESSING; MACHINE VISION; COLOR"	""	"COLOR;  FIBER;  FORENSIC SCIENCE;  IMAGE PROCESSING;  MACHINE VISION"	"ARTICLE;CAMERA;COLOR;FIBER;FORENSIC SCIENCE;IMAGE PROCESSING;PRIORITY JOURNAL;TECHNIQUE;TEXTILE"	"PAULSSON, N (REPRINT AUTHOR), SKL, NATL LAB FORENS SCI, S-58194 LINKOPING, SWEDEN; SKL, NATL LAB FORENS SCI, S-58194 LINKOPING, SWEDEN"	"SKL - NATL. LAB. OF FORENSIC SCIENCE,S-58 1 94,LINKPING,SWEDEN"	"10.1016/S0379-0738(99)00046-8"	"FORENSIC SCIENCE INTERNATIONAL"	"ARTICLE"	"FORENSIC SCIENCE;FIBER;IMAGE PROCESSING;MACHINE VISION;COLOR"
"A REPLY TO: THE TRANSFERABILITY OF DIATOMS TO CLOTHING AND THE METHODS APPROPRIATE FOR THEIR COLLECTION AND ANALYSIS IN FORENSIC GEOSCIENCE, FORENSIC SCI. INT. 241 (2014) 127-137"	2015	"DRAGUTINOVIC A;UITDEHAAG S;KUIPER I"	""	""	"CLOTHING;  DIATOMS;  FORENSIC GEOSCIENCE;  SURFACE WATER;  TRACE EVIDENCE;  TRANSFER"	"ALCOHOL;HYDROGEN PEROXIDE;WATER;CLOTHING;DIATOM;EXTRACTION;FIBER;FLASK SHAKER;FOAMING;FORENSIC SCIENCE;INTERMETHOD COMPARISON;LETTER;MEDICAL DEVICE;NONHUMAN;PHYSICAL PARAMETERS;RINSING WITH ETHANOL METHOD;RINSING WITH WATER METHOD;SHAKER;HUMAN;LABORATORY DIAGNOSIS;PROCEDURES;DIATOMS;HUMANS;SPECIMEN HANDLING"	NA	"NETHERLANDS FORENSIC INSTITUTE,LAAN VAN YPENBURG 6,GB THE HAGUE,2497,NETHERLANDS"	"10.1016/j.forsciint.2014.11.018"	"FORENSIC SCIENCE INTERNATIONAL"	"LETTER"	";CLOTHING;DIATOMS;FORENSIC GEOSCIENCE;SURFACE WATER;TRACE EVIDENCE;TRANSFER"
"A SENSITIVE HPLC-MS/MS METHOD FOR THE ANALYSIS OF FIBER DYES"	2018	"HU C;ZHU J;MEI H;SHI H;GUO H;ZHANG G;WANG P;LU L;ZHENG X"	"FORENSIC SCIENCE; FIBER DYES; HPLC-MS/MS; SENSITIVITY"	"LIQUID-CHROMATOGRAPHY; FORENSIC ANALYSIS; TEXTILE FIBERS;; MASS-SPECTROMETRY; COTTON FIBERS; IDENTIFICATION; EXTRACTION;; MICROSPECTROPHOTOMETRY; YELLOW"	"FIBER DYES;  FORENSIC SCIENCE;  HPLC-MS/MS;  SENSITIVITY"	"NA"	"ZHU, J (REPRINT AUTHOR), MINIST PUBL SECUR, INST FORENS SCI, BEIJING 100038, PEOPLES R CHINA; HU, CAN; ZHU, JUN; MEI, HONGCHENG; SHI, HUIXIA; GUO, HONGLING; ZHANG, GUANNAN; WANG, PING; LU, LIANG; ZHENG, XIAOYU, MINIST PUBL SECUR, INST FORENS SCI, BEIJING 100038, PEOPLES R CHINA"	"INSTITUTE OF FORENSIC SCIENCE,MINISTRY OF PUBLIC SECURITY,BEIJING,100038,CHINA"	"10.1016/j.forc.2018.08.001"	"FORENSIC CHEMISTRY"	"ARTICLE"	"FORENSIC SCIENCE;FIBER DYES;HPLC-MS/MS;SENSITIVITY"
