Id	Id Corrected	Author
7007102011	7007102010	Butterworth A.
57199442281	7403131086	Cook R.
57199442625	7403131086	Cook R.
56157419800	35213216100	Dittmann J.
57196874981	57196874853	Evans S.
57191589682	14031348900	Frosch T.
55636317629	55636317627	Palmer R.
55636317630	55636317627	Palmer R.
55636317631	55636317627	Palmer R.
55636317633	55636317627	Palmer R.
56532434500	6602085005	Zuba D.
[No author id available]		
