Id	name	Name corrected
6602268152	W?s-Guba?a J.	Was-Gubala J.
6507523171	Wa?s J.	Was J.
6507523171	Wa?s J.	Was J.
6507523171	Wa?s J.	Was J.
6602268152	Wa?s-Guba?a J.	Was-Gubala J.
6602268152	Wa?s-Guba?a J.	Was-Gubala J.
56991929900	Wang Z.	Wang Z.-Y.
56991929900	Wang Z.Y.	Wang Z.-Y.
6602268152	Was-Guba?a J.	Was-Gubala J.
6602268152	Was-Guba?a J.	Was-Gubala J.
6602268152	Was-Guba?a J.	Was-Gubala J.
6602268152	Was-Guba?a J.	Was-Gubala J.
7201757449	Watson N.	Watson N.D.
7003873724	Wiggins K.	Wiggins K.G.
7003873724	Wiggins K.	Wiggins K.G.
7003873724	Wiggins K.	Wiggins K.G.
7003873724	Wiggins K.	Wiggins K.G.
7003873724	Wiggins K.	Wiggins K.G.
7003873724	Wiggins K.	Wiggins K.G.
7003873724	Wiggins K.	Wiggins K.G.
23977228200	Xu Y.C.	Xu Y.-C.
36097416800	Yu T.	Yu T.-S.
36097416800	Yu T.	Yu T.-S.
36097416800	Yu T.	Yu T.-S.
42062559600	Zhang H.	Zhang H.-D.
55705163200	Zhao X.	Zhao X.-L.
7404148989	Zhao Z.	Zhao Z.-Q.
8898881800	Zhou Y.	Zhou Y.-W.
8898881800	Zhou Y.W.	Zhou Y.-W.
6602086334	Zi?ba-Palus J.	Zieba-Palus J.
7003818190	Ziegan J.	Ziegan J.B.
	[No author name available]	
