Author
BUSH HD;PEARSON EF;POUNDS CA
EHRENREICH T;SELIKOFF IJ
BUSH HD;PEARSON EF;POUNDS CA
LANGER AM
LANGER AM
NA NA
NA NA
WHEALS BB
EHRENREICH T;SELIKOFF IJ
JENNE K
LYNCH BJ;KERRIGAN GC
NA NA
LYNCH BJ;KERRIGAN GC
HAGER W;METTER D;MAGERL H;SCHWERD W
HAGER W;METTER D;MAGERL H;SCHWERD W
BRUSCHWEILER W
ISHIYAMA I
JENNE K
GRIEVE MC
BRESEE RR
ISHIYAMA I
ROBERTSON J
SCHWARZ G
WHEALS BB;WHITE PC
SCHWARZ G;TEIGE K
GRIEVE MC;KOTOWSKI TM
TEIGE K
JACKSON G
JACKSON G;COOK R
COOK R
SALTER MT;COOK R
WIGGINS KG
GRIEVE MC;DUNLOP J;KOTOWSKI TM
GILL R;BLACKLAWS C
LAING DK;GILL R;BLACKLAWS C
HARTSHORNE AW
HARTSHORNE AW
TUNGOL MW;MONTASER A;BARTICK EG
KRETSCHMER K
GRIEVE MC;DUNLOP J
PALENIK CS
TUNGOL MW;MONTASER A;BARTICK EG
SAITO K
LAING DK;HARTSHORNE AW
LAING DK;HARTSHORNE AW
TUNGOL MW;BARTICK EG;MONTASER A
BRESEE RR
HARTSHORNE AW;LAING DK
HARTSHORNE AW;LAING DK
HARTSHORNE AW;LAING DK
LOWRIE CN;JACKSON G
BRUSCHWEILER W
HARTSHORNE AW
SMITH AFM;EVETT LW
WATSON ND
KRAUSS W
GRIEVE MC;DUNLOP J
GRIEVE MC;DUNLOP J
WHITE GW
GRIEVE MC
KRETSCHMER K;HELBIG W
KRETSCHMER K;HELBIG W
WAS J
WIGGINS KG;COOK R
COOK R;EVETT LW;JACKSON G
TUNGOL MW;BARTICK EG;MONTASER A
BRUSCHWEILER W
GRIFFIN RME;SPEERS SJ
LOWRIE CN;JACKSON G
EYRING MB
GRIEVE MC;DECK S
GRIEVE MC
WIGGINS KG
PRANGE A;REUS U;BODDEKER H;FISCHER R
PRANGE A;REUS U;BODDEKER H;FISCHER R
PAULSSON N
WIGGINS KG
GRIFFIN RME;SPEERS SJ
BIERMANN TW;GRIEVE MC
PALMER R
