name	Name.Corrected
FOURIER-TRANSFORM INFRARED SPECTROSCOPY (FT-IR)	FT-IR
GAS CHROMATOGRAPHY–MASS SPECTROMETRY (GC–MS)	GC-MS
HOLLOW-FIBRE LIQUID-PHASE MICROEXTRACTION (HF-LPME)	HF-LPME
PRINCIPAL COMPONENT ANALYSIS (PCA)	PCA
MICROSPECTROPHOTOMETRY (MSP)	MSP
SCANNING ELECTRON MICROSCOPY (SEM)	SEM
THIN-LAYER CHROMATOGRAPHY (TLC)	TLC
CAPILLARY ELECTROPHORESIS (CE)	CE
