"","Authors","AuthorID","Title","Year","Source.title","Volume","Issue","Art..No.","Page.start","Page.end","Page.count","Cited.by","DOI","Link","Affiliations","Authors.with.affiliations","Author.Keywords","Index.Keywords","ID","Document.Type","Publication.Stage","Access.Type","Source","EID","Coder"
"298","van der Weerd J.","","Combined recovery of fibres and DNA",2015,"Proceedings of the 23rd ENFSI Textile & Hair Group Meeting, Newcastle",NA,"",NA,NA,NA,NA,NA,"","","","","","","","Proceedings","","","","","2016 report"
"299","Keutenius E., O'Keeffe P., Allen K.","55432923900;55433061100;55432775300;","The recovery of fibres from non-textile items using a static charge",2013,"Science and Justice","53","2",NA,"171","177",NA,3,"10.1016/j.scijus.2012.10.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876730163&doi=10.1016%2fj.scijus.2012.10.003&partnerID=40&md5=4b8e9adf8bd58640a19bd95fc4a929a1","University of Strathclyde, Glasgow, United Kingdom; Forensic Science Service, United Kingdom","Keutenius, E., University of Strathclyde, Glasgow, United Kingdom; O'Keeffe, P., Forensic Science Service, United Kingdom; Allen, K., Forensic Science Service, United Kingdom","Fibre recovery; Static","plastic; analytic method; article; forensic science; humidity; laboratory; paper; product recovery; standard; static electricity; textile fiber; weapon","","Article","Final","","Scopus","2-s2.0-84876730163","2016 report"
"300","Bowen A., Stoney D.","55621825700;6701362372;","A New Method for the Removal and Analysis of Small Particles Adhering to Carpet Fiber Surfaces",2013,"Journal of Forensic Sciences","58","3",NA,"789","796",NA,4,"10.1111/1556-4029.12071","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876717162&doi=10.1111%2f1556-4029.12071&partnerID=40&md5=7ca0f633cf5fd8136b4609b90cbc442d","Stoney Forensic, Inc., 14101 Willard Road, Suite G, Chantilly, VA, United States; U.S. Postal Inspection Service, National Forensic Laboratory, 22433 Randolph Drive, Dulles, VA, United States","Bowen, A., Stoney Forensic, Inc., 14101 Willard Road, Suite G, Chantilly, VA, United States, U.S. Postal Inspection Service, National Forensic Laboratory, 22433 Randolph Drive, Dulles, VA, United States; Stoney, D., Stoney Forensic, Inc., 14101 Willard Road, Suite G, Chantilly, VA, United States","Dust; Fibers; Forensic sciences; Particle combination analysis; Scanning electron microscopy; Trace evidence","","","Article","Final","","Scopus","2-s2.0-84876717162","2016 report"
"301","Stoney D.A., Neumann C., Mooney K.E., Wyatt J.M., Stoney P.L.","6701362372;15623596500;7007133399;36804489600;56600363200;","Exploitation of very small particles to enhance the probative value of carpet fibers",2015,"Forensic Science International",NA,"",NA,"52","68",NA,8,"10.1016/j.forsciint.2015.04.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928743079&doi=10.1016%2fj.forsciint.2015.04.003&partnerID=40&md5=d7dcb4220058eb118ab7170f247b9744","Stoney Forensic, Inc., 14101-G Willard Road, Chantilly, VA  20151-2934, United States; Two N's Forensics, Inc., Brookings, SD  57006-4649, United States; South Dakota State University, Department of Mathematics and Statistics, Brookings, SD  57007, United States; Defense Forensic Science Center, Chemistry and Firearms Branch, 4930 N 31st Street, Forest Park, GA  30297-5205, United States","Stoney, D.A., Stoney Forensic, Inc., 14101-G Willard Road, Chantilly, VA  20151-2934, United States; Neumann, C., Two N's Forensics, Inc., Brookings, SD  57006-4649, United States, South Dakota State University, Department of Mathematics and Statistics, Brookings, SD  57007, United States; Mooney, K.E., Defense Forensic Science Center, Chemistry and Firearms Branch, 4930 N 31st Street, Forest Park, GA  30297-5205, United States; Wyatt, J.M., Defense Forensic Science Center, Chemistry and Firearms Branch, 4930 N 31st Street, Forest Park, GA  30297-5205, United States; Stoney, P.L., Stoney Forensic, Inc., 14101-G Willard Road, Chantilly, VA  20151-2934, United States","Carpet fibers; Classifiers; Probative value; SEM/EDS analysis; Trace evidence; Very small particles","Article; carpet fiber; classification; energy dispersive spectroscopy; forensic science; histogram; legal evidence; mathematical computing; physical parameters; priority journal; probability; product recovery; quantitative analysis; reference value; scanning electron microscopy; spectroscopy; textile fiber; very small particle","","Article","Final","","Scopus","2-s2.0-84928743079","2016 report"
"302","Stoney D.A., Bowen A.M., Stoney P.L.","6701362372;55621825700;56600363200;","Utilization of environmentally acquired very small particles as a means of association",2015,"Forensic Science International",NA,"",NA,"26","50",NA,6,"10.1016/j.forsciint.2015.06.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937042974&doi=10.1016%2fj.forsciint.2015.06.002&partnerID=40&md5=dc2f45bd2a337ef5e4846dbe2c59a877","Stoney Forensic Inc., 14101-G Willard Road, Chantilly, VA  20151-2934, United States; U.S. Postal Inspection Service, 22433 Randolph Drive, Dulles, VA  20104, United States","Stoney, D.A., Stoney Forensic Inc., 14101-G Willard Road, Chantilly, VA  20151-2934, United States; Bowen, A.M., Stoney Forensic Inc., 14101-G Willard Road, Chantilly, VA  20151-2934, United States, U.S. Postal Inspection Service, 22433 Randolph Drive, Dulles, VA  20104, United States; Stoney, P.L., Stoney Forensic Inc., 14101-G Willard Road, Chantilly, VA  20151-2934, United States","Association; Carpet fibers; EDS analysis; SEM analysis; Trace evidence; Very small particles","aluminum; barium; bismuth; bromine; calcium; chlorine; chromium; copper nanoparticle; gold nanoparticle; iron nanoparticle; lanthanum; lead; magnesium; manganese; nanoparticle; nickel nanoparticle; nylon; polyester; silicon; silver nanoparticle; sodium; sulfur; target particle type; tin; titanium; tungsten; unclassified drug; unindexed drug; very small particle; zinc; zirconium; Article; carpet; computer analysis; controlled study; energy dispersive spectroscopy; forensic identification; legal evidence; limit of detection; nanoanalysis; nanofiltration; particle size; priority journal; quantitative analysis; scanning electron microscopy; spectroscopy; surface property; textile fiber","","Article","Final","","Scopus","2-s2.0-84937042974","2016 report"
"303","Farah S., Kunduru K.R., Tsach T., Bentolila A., Domb A.J.","54796502600;55918815700;6508141599;6601962482;35519098900;","Forensic comparison of synthetic fibers",2015,"Polymers for Advanced Technologies",NA,"7",NA,"785","796",NA,9,"10.1002/pat.3540","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84931957935&doi=10.1002%2fpat.3540&partnerID=40&md5=13ce11e3fc57262222ab3b3adc9eb04e","Institute of Drug Research, School of Pharmacy, Faculty of Medicine, Center for Nanoscience and Nanotechnology and The Alex Grass Center for Drug Design and Synthesis, The Hebrew University of Jerusalem, Jerusalem, 91120, Israel; Division of Identification and Forensic Sciences (DIFS), Israel Police, Jerusalem, Israel","Farah, S., Institute of Drug Research, School of Pharmacy, Faculty of Medicine, Center for Nanoscience and Nanotechnology and The Alex Grass Center for Drug Design and Synthesis, The Hebrew University of Jerusalem, Jerusalem, 91120, Israel; Kunduru, K.R., Institute of Drug Research, School of Pharmacy, Faculty of Medicine, Center for Nanoscience and Nanotechnology and The Alex Grass Center for Drug Design and Synthesis, The Hebrew University of Jerusalem, Jerusalem, 91120, Israel; Tsach, T., Division of Identification and Forensic Sciences (DIFS), Israel Police, Jerusalem, Israel; Bentolila, A., Division of Identification and Forensic Sciences (DIFS), Israel Police, Jerusalem, Israel; Domb, A.J., Institute of Drug Research, School of Pharmacy, Faculty of Medicine, Center for Nanoscience and Nanotechnology and The Alex Grass Center for Drug Design and Synthesis, The Hebrew University of Jerusalem, Jerusalem, 91120, Israel, Division of Identification and Forensic Sciences (DIFS), Israel Police, Jerusalem, Israel","Fiber analysis; Fibers forensic comparison; Forensic science; Synthetic fibers; Trace evidence","Mass spectrometry; Polymers; Synthetic fibers; Analytical method; Criminal investigation; Different origins; Forensic analysis; Forensic examinations; Forensic science; Professional analysis; Trace evidences; Fibers","","Review","Final","","Scopus","2-s2.0-84931957935","2016 report"
"304","Farah S., Tsach T., Bentolila A., Domb A.J.","54796502600;6508141599;6601962482;35519098900;","Morphological, spectral and chromatography analysis and forensic comparison of PET fibers",2014,"Talanta","123","",NA,"54","62",NA,11,"10.1016/j.talanta.2014.01.041","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894310857&doi=10.1016%2fj.talanta.2014.01.041&partnerID=40&md5=57ed72a2ee56484c120415af8f40398d","Institute of Drug Research, School of Pharmacy-Faculty of Medicine, Hebrew University of Jerusalem, 91120 Jerusalem, Israel; Division of Identification and Forensic Sciences (DIFS), Israel Police, Jerusalem, Israel","Farah, S., Institute of Drug Research, School of Pharmacy-Faculty of Medicine, Hebrew University of Jerusalem, 91120 Jerusalem, Israel; Tsach, T., Division of Identification and Forensic Sciences (DIFS), Israel Police, Jerusalem, Israel; Bentolila, A., Division of Identification and Forensic Sciences (DIFS), Israel Police, Jerusalem, Israel; Domb, A.J., Institute of Drug Research, School of Pharmacy-Faculty of Medicine, Hebrew University of Jerusalem, 91120 Jerusalem, Israel, Division of Identification and Forensic Sciences (DIFS), Israel Police, Jerusalem, Israel","Fiber analysis; Fiber forensic comparison; GPC analysis; Poly(ethylene terephthalate)","Chlorine compounds; Ethylene; Forensic science; Gel permeation chromatography; Molecular imaging; Molecular weight; Polyethylene terephthalates; Average molecular weight; Fiber concentration; Gel permeation chromatography (GPC); GPC analysis; Hexafluoroisopropanol; Molecular analysis; Poly(ethylene terephthalate) (PET); Polymer molecular weight; Fibers; chloroform; hexafluoro 2 propanol; macrogol derivative; plastic; polyethylene terephthalate; polymer; propanol; analysis; atomic force microscopy; chemistry; chromatography; comparative study; forensic science; gel chromatography; heat; mass spectrometry; molecular weight; phase contrast microscopy; procedures; proton nuclear magnetic resonance; scanning electron microscopy; spectroscopy; textile; Chloroform; Chromatography; Chromatography, Gel; Forensic Sciences; Hot Temperature; Microscopy, Atomic Force; Microscopy, Electron, Scanning; Microscopy, Interference; Molecular Weight; Plastics; Polyethylene Glycols; Polymers; Propanols; Proton Magnetic Resonance Spectroscopy; Spectrometry, Mass, Matrix-Assisted Laser Desorption-Ionization; Spectrum Analysis; Textiles","","Article","Final","","Scopus","2-s2.0-84894310857","2016 report"
"305","Meleiro P.P., Garciá-Ruiz C.","57105796800;35271820400;","Spectroscopic techniques for the forensic analysis of textile fibers",2016,"Applied Spectroscopy Reviews","51","4",NA,"258","281",NA,13,"10.1080/05704928.2015.1132720","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957652182&doi=10.1080%2f05704928.2015.1132720&partnerID=40&md5=5820c832e83107e3023c96a8a7693e87","Department of Analytical Chemistry, Physical Chemistry and Chemical Engineering, University of Alcalá, Multipurpose Building of Chemistry, Ctra. Madrid-Barcelona km 33.600, Alcala de Henares (Madrid), 28871, Spain; University Institute of Research in Police Sciences (IUICP), University of Alcalá, Alcalá de Henares (Madrid), Spain","Meleiro, P.P., Department of Analytical Chemistry, Physical Chemistry and Chemical Engineering, University of Alcalá, Multipurpose Building of Chemistry, Ctra. Madrid-Barcelona km 33.600, Alcala de Henares (Madrid), 28871, Spain, University Institute of Research in Police Sciences (IUICP), University of Alcalá, Alcalá de Henares (Madrid), Spain; Garciá-Ruiz, C., Department of Analytical Chemistry, Physical Chemistry and Chemical Engineering, University of Alcalá, Multipurpose Building of Chemistry, Ctra. Madrid-Barcelona km 33.600, Alcala de Henares (Madrid), 28871, Spain, University Institute of Research in Police Sciences (IUICP), University of Alcalá, Alcalá de Henares (Madrid), Spain","cotton; FTIR spectroscopy; infrared chemical imaging spectroscopy; polyester; Raman spectroscopy; textile fiber; UV-Vis microspectrophotometry; wool; X-ray fluorescence spectroscopy","Chemical analysis; Cotton; Fibers; Fluorescence; Fluorescence spectroscopy; Polyesters; Raman spectroscopy; Spectroscopic analysis; Spectrum analysis; Textile fibers; Textiles; Wool; Complementary techniques; Comprehensive analysis; FTIR spectroscopy; Infrared chemical imaging; Microspectrophotometry; Raman and FTIR spectroscopy; Spectroscopic technique; X ray fluorescence spectroscopy; Fourier transform infrared spectroscopy","","Article","Final","","Scopus","2-s2.0-84957652182","2016 report"
"306","Martin P.C., Eyring M.B.","56236856300;6506043383;","Microspectrophotometry",2014,"Experimental Methods in the Physical Sciences","46","",NA,"489","517",NA,3,"10.1016/B978-0-12-386022-4.00013-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903490214&doi=10.1016%2fB978-0-12-386022-4.00013-3&partnerID=40&md5=372cb53405bd5349a41ac620047c5c1c","CRAIC Technologies, San Dimas, CA, United States; Micro Forensics, Ltd., Phoenix, AZ, United States; Arizona Department of Public Safety Crime Laboratory, Phoenix, AZ, United States","Martin, P.C., CRAIC Technologies, San Dimas, CA, United States; Eyring, M.B., Micro Forensics, Ltd., Phoenix, AZ, United States, Arizona Department of Public Safety Crime Laboratory, Phoenix, AZ, United States","Fiber; Fluorescence; Forensics; Paint; Reflectance; Transmittance","","","Book Chapter","Final","","Scopus","2-s2.0-84903490214","2016 report"
"307","Was-Gubala J., Starczak R.","6602268152;56524573600;","UV-Vis microspectrophotometry as a method of differentiation between cotton fibre evidence coloured with reactive dyes",2015,"Spectrochimica Acta - Part A: Molecular and Biomolecular Spectroscopy",NA,"",NA,"118","125",NA,14,"10.1016/j.saa.2015.01.116","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923222036&doi=10.1016%2fj.saa.2015.01.116&partnerID=40&md5=de7b6b00e1001bea604023821cd5ca20","Institute of Forensic Research, Department of Criminalistics, Westerplatte 9, Krakow, 31-033, Poland; Jagiellonian University, Department of Analytical Chemistry, Ingardena 3, Krakow, 30-060, Poland","Was-Gubala, J., Institute of Forensic Research, Department of Criminalistics, Westerplatte 9, Krakow, 31-033, Poland; Starczak, R., Institute of Forensic Research, Department of Criminalistics, Westerplatte 9, Krakow, 31-033, Poland, Jagiellonian University, Department of Analytical Chemistry, Ingardena 3, Krakow, 30-060, Poland","CIEL?CIEL?a?b; Colour measurement; Cotton fibre; Forensic; MSP UV-Vis; Reactive dyes","Color; Cotton fabrics; Cotton fibers; Fibers; Weaving; Absorbance measurements; Colour measurement; Forensic; Microspectrophotometry; MSP UV-Vis; Reactive dyes; Transmission mode; Woven cotton fabrics; Cotton; coloring agent; color; cotton; evaluation study; limit of detection; microspectrophotometry; procedures; ultraviolet spectrophotometry; Color; Coloring Agents; Cotton Fiber; Limit of Detection; Microspectrophotometry; Spectrophotometry, Ultraviolet","","Article","Final","","Scopus","2-s2.0-84923222036","2016 report"
