Source title	CiteScore	Highest percentile	2018 Citations	2015-17 Documents	% Cited	SNIP	SJR	Publisher
Journal of the Canadian Society of Forensic Science	0.64	"28.0%
131/184
Pathology and Forensic Medicine"	32	50	36	0.512	0.369	Taylor & Francis
Journal of Forensic Nursing	0.6	"54.0%
273/601
Law"	68	114	30	0.552	0.275	Wolters Kluwer Health
Journal of Forensic Practice	0.54	"51.0%
288/601
Law"	47	87	34	0.407	0.171	Emerald
Studies in Social Justice	0.51	"49.0%
300/601
Law"	36	70	39	0.304	0.147	University of Windsor
Justice System Journal	0.48	"47.0%
313/601
Law"	43	90	26	0.837	0.34	Taylor & Francis
Journal of Forensic Odonto-Stomatology	0.46	"22.0%
143/184
Pathology and Forensic Medicine"	23	50	32	0.259	0.245	"IOFOS, National Board of Forensic Medicine"
"European Journal of Crime, Criminal Law and Criminal Justice"	0.41	"42.0%
340/601
Law"	23	56	29	0.773	0.286	Brill
Forensic Science International: Genetics Supplement Series	0.4	"20.0%
147/184
Pathology and Forensic Medicine"	201	503	27	0.21	0.263	Elsevier
Journal of Forensic Identification	0.35	"18.0%
151/184
Pathology and Forensic Medicine"	50	143	23	0.397	0.415	International Association for Identification
Criminal Justice Ethics	0.24	"30.0%
416/601
Law"	12	51	18	0.216	0.152	Taylor & Francis
Proceedings of the Institution of Civil Engineers: Forensic Engineering	0.24	"17.0%
127/154
Safety, Risk, Reliability and Quality"	19	78	19	0.537	0.144	
American Journal of Forensic Psychology	0.21	"11.0%
164/184
Pathology and Forensic Medicine"	7	33	18	0.333	0.242	American College of Forensic Psychiatry
Journal of Indian Academy of Forensic Medicine	0.15	"8.0%
168/184
Pathology and Forensic Medicine"	51	345	14	0.514	0.229	Indian Academy of Forensic Medicine
International Journal of Criminal Justice Sciences	0.1	"12.0%
517/601
Law"	2	20	10	0.004	0.109	South Asian Society of Criminology and Victimology (SASCV)
Advances in Sustainability and Environmental Justice	0.09	"8.0%
229/253
Social Sciences (miscellaneous)"	6	69	6	0.187	0.108	Emerald
Fa yi xue za zhi	0.09	"6.0%
172/184
Pathology and Forensic Medicine"	22	252	7	0.033	0.111	"Ministry of Justice, Institute of Forensic Sciences"
Indian Journal of Forensic Medicine and Toxicology	0.08	"10.0%
534/601
Law"	30	392	6	0.189	0.155	All India Institute of Medical Sciences
Anil Aggrawal's Internet Journal of Forensic Medicine and Toxicology	0.05	"6.0%
557/601
Law"	1	22	5	0.323	0.114	Anil Aggrawal
Journal of Punjab Academy of Forensic Medicine and Toxicology	0.05	"4.0%
175/184
Pathology and Forensic Medicine"	5	92	4	0.153	0.1	Punjab Academy of Forensic Medicine and Toxicology
Indian Journal of Forensic Medicine and Pathology	0.01	"1.0%
181/184
Pathology and Forensic Medicine"	1	87	1	0	0.11	Red Flower Publication Pvt. Ltd
American Journal of Forensic Psychiatry	N/A	N/A	N/A	N/A	N/A	N/A	N/A	American College of Forensic Psychiatry
British Journal of Community Justice	N/A	N/A	N/A	N/A	N/A	0.376	0.185	Sheffield Hallam University
British Journal of Forensic Practice	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Pavilion
Chinese Journal of Forensic Medicine	0	"0.0%
182/184
Pathology and Forensic Medicine"	0	90	0	0	0.1	Forensic Medicine Association of China
Criminal Justice	N/A	N/A	N/A	N/A	N/A	N/A	N/A	SAGE
Criminal Justice Matters	N/A	N/A	N/A	N/A	N/A	0.306	0.122	Taylor & Francis
"Forensic Engineering, Proceedings of the Congress"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Forensic Science	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Elsevier
Forensic Science International Supplement Series	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Elsevier
Forensic Science International: Synergy	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Elsevier
Forensic Sciences Research	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Taylor & Francis
Howard Journal of Criminal Justice	N/A	N/A	N/A	N/A	N/A	0.453	0.149	Wiley-Blackwell
International Journal of Medical Toxicology and Forensic Medicine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Shahid Beheshti University of Medical Sciences
Japanese Journal of Forensic Toxicology	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Japanese Association of Forensic Toxicology
Journal of Clinical Forensic Medicine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Elsevier
Journal of Criminal Justice and Popular Culture	N/A	N/A	N/A	N/A	N/A	0	0.103	"School of Criminal Justice, State University Of New York at Albany"
Journal of Digital Forensic Practice	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Taylor & Francis
Journal of forensic medicine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Meditor (Proprietary) Ltd.
Journal of Forensic Medicine and Toxicology	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Indian Academy of Forensic Medicine
Journal of Forensic Neuropsychology	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Taylor & Francis
Journal of Forensic Psychiatry	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Taylor & Francis
Journal of Forensic Psychology Practice	N/A	N/A	N/A	N/A	N/A	0.521	0.343	Taylor & Francis
Journal of Forensic Psychology Research and Practice	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Taylor & Francis
Journal of the Forensic Science Society	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Forensic Science Society
Journal of the National Academy of Forensic Engineers	0	"2.0%
148/154
Safety, Risk, Reliability and Quality"	0	28	0	0	N/A	National Academy of Forensic Engineers
Online Journal of Justice Studies	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Lunds Universitet
Southern Journal of Criminal Justice	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Springer Nature
The Journal of Human Justice	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Human Justice Collective
Science and Justice								
